model,step,domain,key,tree,measure,value
pythia-160m,0,wikitext,halfA,real,crisp_median_max_membership,0.72
pythia-160m,0,wikitext,halfA,real,crisp_frac_confident,0.7800835503472222
pythia-160m,0,wikitext,halfA,real,crisp_network_median,0.7097637948984903
pythia-160m,0,wikitext,halfA,real,size_n_networks,100.0
pythia-160m,0,wikitext,halfA,real,size_effective_n,90.19796077779311
pythia-160m,0,wikitext,halfA,real,size_gini,0.22982313368055562
pythia-160m,0,wikitext,halfA,real,size_largest_share,0.04855685763888889
pythia-160m,0,wikitext,halfA,real,size_frac_small,0.0
pythia-160m,0,wikitext,halfA,real,depth_median_effective_layers,11.72540611655973
pythia-160m,0,wikitext,halfA,real,depth_frac_single_layer,0.0
pythia-160m,0,wikitext,halfA,real,depth_mean_layer_span,2.23
pythia-160m,1,wikitext,halfA,real,crisp_median_max_membership,0.72
pythia-160m,1,wikitext,halfA,real,crisp_frac_confident,0.7781032986111112
pythia-160m,1,wikitext,halfA,real,crisp_network_median,0.7113363263632637
pythia-160m,1,wikitext,halfA,real,size_n_networks,100.0
pythia-160m,1,wikitext,halfA,real,size_effective_n,90.27615844474315
pythia-160m,1,wikitext,halfA,real,size_gini,0.22806640624999996
pythia-160m,1,wikitext,halfA,real,size_largest_share,0.048638237847222224
pythia-160m,1,wikitext,halfA,real,size_frac_small,0.0
pythia-160m,1,wikitext,halfA,real,depth_median_effective_layers,11.720612303764295
pythia-160m,1,wikitext,halfA,real,depth_frac_single_layer,0.0
pythia-160m,1,wikitext,halfA,real,depth_mean_layer_span,2.24
pythia-160m,4,wikitext,halfA,real,crisp_median_max_membership,0.715
pythia-160m,4,wikitext,halfA,real,crisp_frac_confident,0.7757975260416666
pythia-160m,4,wikitext,halfA,real,crisp_network_median,0.7093072423243325
pythia-160m,4,wikitext,halfA,real,size_n_networks,100.0
pythia-160m,4,wikitext,halfA,real,size_effective_n,88.94575347421535
pythia-160m,4,wikitext,halfA,real,size_gini,0.2407758246527778
pythia-160m,4,wikitext,halfA,real,size_largest_share,0.04893663194444445
pythia-160m,4,wikitext,halfA,real,size_frac_small,0.01
pythia-160m,4,wikitext,halfA,real,depth_median_effective_layers,11.725343520763818
pythia-160m,4,wikitext,halfA,real,depth_frac_single_layer,0.0
pythia-160m,4,wikitext,halfA,real,depth_mean_layer_span,2.32
pythia-160m,16,wikitext,halfA,real,crisp_median_max_membership,0.68
pythia-160m,16,wikitext,halfA,real,crisp_frac_confident,0.72998046875
pythia-160m,16,wikitext,halfA,real,crisp_network_median,0.670395732741746
pythia-160m,16,wikitext,halfA,real,size_n_networks,100.0
pythia-160m,16,wikitext,halfA,real,size_effective_n,90.70028299806462
pythia-160m,16,wikitext,halfA,real,size_gini,0.21128146701388895
pythia-160m,16,wikitext,halfA,real,size_largest_share,0.054389105902777776
pythia-160m,16,wikitext,halfA,real,size_frac_small,0.0
pythia-160m,16,wikitext,halfA,real,depth_median_effective_layers,11.721227947421696
pythia-160m,16,wikitext,halfA,real,depth_frac_single_layer,0.0
pythia-160m,16,wikitext,halfA,real,depth_mean_layer_span,2.33
pythia-160m,64,wikitext,halfA,real,crisp_median_max_membership,0.63
pythia-160m,64,wikitext,halfA,real,crisp_frac_confident,0.7113715277777778
pythia-160m,64,wikitext,halfA,real,crisp_network_median,0.6176123389043406
pythia-160m,64,wikitext,halfA,real,size_n_networks,100.0
pythia-160m,64,wikitext,halfA,real,size_effective_n,92.75636252438807
pythia-160m,64,wikitext,halfA,real,size_gini,0.2139724392361111
pythia-160m,64,wikitext,halfA,real,size_largest_share,0.024576822916666668
pythia-160m,64,wikitext,halfA,real,size_frac_small,0.0
pythia-160m,64,wikitext,halfA,real,depth_median_effective_layers,10.415543882130777
pythia-160m,64,wikitext,halfA,real,depth_frac_single_layer,0.0
pythia-160m,64,wikitext,halfA,real,depth_mean_layer_span,4.02
pythia-160m,256,wikitext,halfA,real,crisp_median_max_membership,0.615
pythia-160m,256,wikitext,halfA,real,crisp_frac_confident,0.6901041666666666
pythia-160m,256,wikitext,halfA,real,crisp_network_median,0.5866208849546783
pythia-160m,256,wikitext,halfA,real,size_n_networks,100.0
pythia-160m,256,wikitext,halfA,real,size_effective_n,95.0615409017386
pythia-160m,256,wikitext,halfA,real,size_gini,0.1625759548611112
pythia-160m,256,wikitext,halfA,real,size_largest_share,0.022922092013888888
pythia-160m,256,wikitext,halfA,real,size_frac_small,0.0
pythia-160m,256,wikitext,halfA,real,depth_median_effective_layers,9.625950268996544
pythia-160m,256,wikitext,halfA,real,depth_frac_single_layer,0.0
pythia-160m,256,wikitext,halfA,real,depth_mean_layer_span,4.3
pythia-160m,1000,wikitext,halfA,real,crisp_median_max_membership,0.705
pythia-160m,1000,wikitext,halfA,real,crisp_frac_confident,0.7754177517361112
pythia-160m,1000,wikitext,halfA,real,crisp_network_median,0.6941080731004885
pythia-160m,1000,wikitext,halfA,real,size_n_networks,100.0
pythia-160m,1000,wikitext,halfA,real,size_effective_n,92.77084782059215
pythia-160m,1000,wikitext,halfA,real,size_gini,0.1868098958333333
pythia-160m,1000,wikitext,halfA,real,size_largest_share,0.035319010416666664
pythia-160m,1000,wikitext,halfA,real,size_frac_small,0.0
pythia-160m,1000,wikitext,halfA,real,depth_median_effective_layers,8.166755234684366
pythia-160m,1000,wikitext,halfA,real,depth_frac_single_layer,0.0
pythia-160m,1000,wikitext,halfA,real,depth_mean_layer_span,4.48
pythia-160m,4000,wikitext,halfA,real,crisp_median_max_membership,0.79
pythia-160m,4000,wikitext,halfA,real,crisp_frac_confident,0.8644205729166666
pythia-160m,4000,wikitext,halfA,real,crisp_network_median,0.7749846781656275
pythia-160m,4000,wikitext,halfA,real,size_n_networks,100.0
pythia-160m,4000,wikitext,halfA,real,size_effective_n,91.63998940236982
pythia-160m,4000,wikitext,halfA,real,size_gini,0.2234733072916666
pythia-160m,4000,wikitext,halfA,real,size_largest_share,0.026936848958333332
pythia-160m,4000,wikitext,halfA,real,size_frac_small,0.0
pythia-160m,4000,wikitext,halfA,real,depth_median_effective_layers,8.63065636127091
pythia-160m,4000,wikitext,halfA,real,depth_frac_single_layer,0.01
pythia-160m,4000,wikitext,halfA,real,depth_mean_layer_span,4.18
pythia-160m,16000,wikitext,halfA,real,crisp_median_max_membership,0.775
pythia-160m,16000,wikitext,halfA,real,crisp_frac_confident,0.8344184027777778
pythia-160m,16000,wikitext,halfA,real,crisp_network_median,0.7315619734881713
pythia-160m,16000,wikitext,halfA,real,size_n_networks,100.0
pythia-160m,16000,wikitext,halfA,real,size_effective_n,87.70904923508407
pythia-160m,16000,wikitext,halfA,real,size_gini,0.24373426649305552
pythia-160m,16000,wikitext,halfA,real,size_largest_share,0.05772569444444445
pythia-160m,16000,wikitext,halfA,real,size_frac_small,0.01
pythia-160m,16000,wikitext,halfA,real,depth_median_effective_layers,8.269490292067122
pythia-160m,16000,wikitext,halfA,real,depth_frac_single_layer,0.01
pythia-160m,16000,wikitext,halfA,real,depth_mean_layer_span,4.1
pythia-160m,64000,wikitext,halfA,real,crisp_median_max_membership,0.76
pythia-160m,64000,wikitext,halfA,real,crisp_frac_confident,0.8228081597222222
pythia-160m,64000,wikitext,halfA,real,crisp_network_median,0.7067326737662513
pythia-160m,64000,wikitext,halfA,real,size_n_networks,100.0
pythia-160m,64000,wikitext,halfA,real,size_effective_n,89.20522610355918
pythia-160m,64000,wikitext,halfA,real,size_gini,0.22259548611111102
pythia-160m,64000,wikitext,halfA,real,size_largest_share,0.056477864583333336
pythia-160m,64000,wikitext,halfA,real,size_frac_small,0.0
pythia-160m,64000,wikitext,halfA,real,depth_median_effective_layers,8.014860607459163
pythia-160m,64000,wikitext,halfA,real,depth_frac_single_layer,0.02
