model,step,domain,key,partition,eval_key,measure,value
EleutherAI/pythia-160m,0,wikitext,halfA,null,halfB,segregation_between_mean,0.0672976016421298
EleutherAI/pythia-160m,0,wikitext,halfA,null,halfB,segregation_ratio,1.0184915578552438
EleutherAI/pythia-160m,0,wikitext,halfA,null,halfB,segregation_modularity,0.00020457019771722785
EleutherAI/pythia-160m,0,wikitext,halfB,real,halfB,segregation_within_mean,0.13925477146120321
EleutherAI/pythia-160m,0,wikitext,halfB,real,halfB,segregation_between_mean,0.06639786064266859
EleutherAI/pythia-160m,0,wikitext,halfB,real,halfB,segregation_ratio,2.097277986268662
EleutherAI/pythia-160m,0,wikitext,halfB,real,halfB,segregation_modularity,0.013363734581810647
EleutherAI/pythia-160m,0,wikitext,halfB,real,halfA,segregation_within_mean,0.137035243114014
EleutherAI/pythia-160m,0,wikitext,halfB,real,halfA,segregation_between_mean,0.06581889862422644
EleutherAI/pythia-160m,0,wikitext,halfB,real,halfA,segregation_ratio,2.0820044998986726
EleutherAI/pythia-160m,0,wikitext,halfB,real,halfA,segregation_modularity,0.013191972661815866
EleutherAI/pythia-160m,0,wikitext,halfB,null,halfB,segregation_within_mean,0.0685499441234188
EleutherAI/pythia-160m,0,wikitext,halfB,null,halfB,segregation_between_mean,0.06729747921829253
EleutherAI/pythia-160m,0,wikitext,halfB,null,halfB,segregation_ratio,1.018610873983313
EleutherAI/pythia-160m,0,wikitext,halfB,null,halfB,segregation_modularity,0.00020435518473806895
EleutherAI/pythia-160m,0,wikitext,halfB,null,halfA,segregation_within_mean,0.0679497774392795
EleutherAI/pythia-160m,0,wikitext,halfB,null,halfA,segregation_between_mean,0.066697971999813
EleutherAI/pythia-160m,0,wikitext,halfB,null,halfA,segregation_ratio,1.0187682683885801
EleutherAI/pythia-160m,0,wikitext,halfB,null,halfA,segregation_modularity,0.0002081166479084475
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,act_firing_rate_median,0.500073750813802
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,act_frac_dead,2.712673611111111e-05
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,act_frac_dense,0.5001898871527778
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,act_firing_rate_gini,0.25555291959352266
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,act_firing_rate_median,0.5001627604166666
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,act_frac_dead,2.712673611111111e-05
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,act_frac_dense,0.5003526475694444
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,act_firing_rate_gini,0.2554323482618466
EleutherAI/pythia-160m,0,bookcorpus,-,-,-,lm_loss,11.050359579305107
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,dim_participation_ratio,122.18414067266255
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,dim_top1_share,0.04040821382498135
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,dim_top10_share,0.22547291560996002
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,dim_top100_share,0.5860517756418187
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,dim_n_for_50pct,65.0
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,dim_n_for_90pct,909.0
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,dim_participation_ratio_frac,0.003314456940990195
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,n_live_units,36864.0
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,coupling_mean_absr,0.0703355465908901
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,coupling_median_absr,0.0575924776494503
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,coupling_p90_absr,0.14627106785774233
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,coupling_p99_absr,0.2513711765408516
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,coupling_frac_absr_gt_0.1,0.24914577949870798
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,coupling_frac_absr_gt_0.3,0.0037586902085650054
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,coupling_concentration_top1pct,0.03613928500838692
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,hub_strength_gini,0.11745302730294194
EleutherAI/pythia-160m,0,bookcorpus,halfA,-,halfA,hub_strength_cv,0.21510034410518014
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,dim_participation_ratio,123.65266921497607
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,dim_top1_share,0.039931912802730715
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,dim_top10_share,0.22330213189727977
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,dim_top100_share,0.5850599334895616
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,dim_n_for_50pct,65.0
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,dim_n_for_90pct,910.0
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,dim_participation_ratio_frac,0.0033542933272291686
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,n_live_units,36864.0
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,coupling_mean_absr,0.06992267334993024
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,coupling_median_absr,0.057308685034513474
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,coupling_p90_absr,0.14554404616355898
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,coupling_p99_absr,0.2494780272245407
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,coupling_frac_absr_gt_0.1,0.2467968532649686
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,coupling_frac_absr_gt_0.3,0.003666910740704369
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,coupling_concentration_top1pct,0.03615463140207638
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,hub_strength_gini,0.11688546397653332
EleutherAI/pythia-160m,0,bookcorpus,halfB,-,halfB,hub_strength_cv,0.2142841419696466
EleutherAI/pythia-160m,0,bookcorpus,halfA,real,halfA,segregation_within_mean,0.1428478019537104
EleutherAI/pythia-160m,0,bookcorpus,halfA,real,halfA,segregation_between_mean,0.06943169677330041
EleutherAI/pythia-160m,0,bookcorpus,halfA,real,halfA,segregation_ratio,2.0573860152103007
EleutherAI/pythia-160m,0,bookcorpus,halfA,real,halfA,segregation_modularity,0.012857842021453467
EleutherAI/pythia-160m,0,bookcorpus,halfA,real,halfB,segregation_within_mean,0.14156514882686336
EleutherAI/pythia-160m,0,bookcorpus,halfA,real,halfB,segregation_between_mean,0.06902966514227088
EleutherAI/pythia-160m,0,bookcorpus,halfA,real,halfB,segregation_ratio,2.0507871294913
EleutherAI/pythia-160m,0,bookcorpus,halfA,real,halfB,segregation_modularity,0.012775400103484621
EleutherAI/pythia-160m,0,bookcorpus,halfA,null,halfA,segregation_within_mean,0.0713474352695613
EleutherAI/pythia-160m,0,bookcorpus,halfA,null,halfA,segregation_between_mean,0.07032488528334882
EleutherAI/pythia-160m,0,bookcorpus,halfA,null,halfA,segregation_ratio,1.0145403719052293
EleutherAI/pythia-160m,0,bookcorpus,halfA,null,halfA,segregation_modularity,0.00016624067797039934
EleutherAI/pythia-160m,0,bookcorpus,halfA,null,halfB,segregation_within_mean,0.07094010140912199
EleutherAI/pythia-160m,0,bookcorpus,halfA,null,halfB,segregation_between_mean,0.06991195366965258
EleutherAI/pythia-160m,0,bookcorpus,halfA,null,halfB,segregation_ratio,1.0147063225314459
EleutherAI/pythia-160m,0,bookcorpus,halfA,null,halfB,segregation_modularity,0.0001678676629728282
EleutherAI/pythia-160m,0,bookcorpus,halfB,real,halfB,segregation_within_mean,0.1414531222410322
EleutherAI/pythia-160m,0,bookcorpus,halfB,real,halfB,segregation_between_mean,0.06902764755009666
EleutherAI/pythia-160m,0,bookcorpus,halfB,real,halfB,segregation_ratio,2.049224148025223
EleutherAI/pythia-160m,0,bookcorpus,halfB,real,halfB,segregation_modularity,0.012796706139259942
EleutherAI/pythia-160m,0,bookcorpus,halfB,real,halfA,segregation_within_mean,0.1426728839898999
