model,domain,key,tree,network,step,best_jaccard,birth_step
pythia-160m,wikitext,halfA,real,0,0,0.01171875,143000
pythia-160m,wikitext,halfA,real,0,1,0.011538461538461539,143000
pythia-160m,wikitext,halfA,real,0,4,0.007575757575757576,143000
pythia-160m,wikitext,halfA,real,0,16,0.007556675062972292,143000
pythia-160m,wikitext,halfA,real,0,64,0.014308426073131956,143000
pythia-160m,wikitext,halfA,real,0,256,0.0124804992199688,143000
pythia-160m,wikitext,halfA,real,0,1000,0.015317286652078774,143000
pythia-160m,wikitext,halfA,real,0,4000,0.018148820326678767,143000
pythia-160m,wikitext,halfA,real,0,16000,0.03002309468822171,143000
pythia-160m,wikitext,halfA,real,0,64000,0.05084745762711865,143000
pythia-160m,wikitext,halfA,real,0,143000,1.0,143000
pythia-160m,wikitext,halfA,real,1,0,0.013490725126475547,143000
pythia-160m,wikitext,halfA,real,1,1,0.013490725126475547,143000
pythia-160m,wikitext,halfA,real,1,4,0.013628620102214651,143000
pythia-160m,wikitext,halfA,real,1,16,0.014373716632443531,143000
pythia-160m,wikitext,halfA,real,1,64,0.014010507880910683,143000
pythia-160m,wikitext,halfA,real,1,256,0.020437956204379562,143000
pythia-160m,wikitext,halfA,real,1,1000,0.023006134969325152,143000
pythia-160m,wikitext,halfA,real,1,4000,0.040632054176072234,143000
pythia-160m,wikitext,halfA,real,1,16000,0.07113543091655267,143000
pythia-160m,wikitext,halfA,real,1,64000,0.12066574202496533,143000
pythia-160m,wikitext,halfA,real,1,143000,1.0,143000
pythia-160m,wikitext,halfA,real,2,0,0.019285714285714285,16000
pythia-160m,wikitext,halfA,real,2,1,0.019285714285714285,16000
pythia-160m,wikitext,halfA,real,2,4,0.01903735632183908,16000
pythia-160m,wikitext,halfA,real,2,16,0.019357336430507164,16000
pythia-160m,wikitext,halfA,real,2,64,0.05415660572611245,16000
pythia-160m,wikitext,halfA,real,2,256,0.08005769924269744,16000
pythia-160m,wikitext,halfA,real,2,1000,0.14526748971193415,16000
pythia-160m,wikitext,halfA,real,2,4000,0.36119532265049803,16000
pythia-160m,wikitext,halfA,real,2,16000,0.7270892208316512,16000
pythia-160m,wikitext,halfA,real,2,64000,0.9184043517679057,16000
pythia-160m,wikitext,halfA,real,2,143000,1.0,16000
pythia-160m,wikitext,halfA,real,3,0,0.00906344410876133,143000
pythia-160m,wikitext,halfA,real,3,1,0.00909090909090909,143000
pythia-160m,wikitext,halfA,real,3,4,0.008746355685131196,143000
pythia-160m,wikitext,halfA,real,3,16,0.012379642365887207,143000
pythia-160m,wikitext,halfA,real,3,64,0.011764705882352941,143000
pythia-160m,wikitext,halfA,real,3,256,0.012987012987012988,143000
pythia-160m,wikitext,halfA,real,3,1000,0.028688524590163935,143000
pythia-160m,wikitext,halfA,real,3,4000,0.0700280112044818,143000
pythia-160m,wikitext,halfA,real,3,16000,0.058823529411764705,143000
pythia-160m,wikitext,halfA,real,3,64000,0.0958904109589041,143000
pythia-160m,wikitext,halfA,real,3,143000,1.0,143000
pythia-160m,wikitext,halfA,real,4,0,0.014705882352941176,143000
pythia-160m,wikitext,halfA,real,4,1,0.014705882352941176,143000
pythia-160m,wikitext,halfA,real,4,4,0.013944223107569721,143000
pythia-160m,wikitext,halfA,real,4,16,0.014184397163120567,143000
pythia-160m,wikitext,halfA,real,4,64,0.012658227848101266,143000
pythia-160m,wikitext,halfA,real,4,256,0.013793103448275862,143000
pythia-160m,wikitext,halfA,real,4,1000,0.0192,143000
pythia-160m,wikitext,halfA,real,4,4000,0.06705539358600583,143000
pythia-160m,wikitext,halfA,real,4,16000,0.16129032258064516,143000
pythia-160m,wikitext,halfA,real,4,64000,0.3713163064833006,143000
pythia-160m,wikitext,halfA,real,4,143000,1.0,143000
pythia-160m,wikitext,halfA,real,5,0,0.012048192771084338,143000
pythia-160m,wikitext,halfA,real,5,1,0.012091898428053204,143000
pythia-160m,wikitext,halfA,real,5,4,0.013431013431013432,143000
pythia-160m,wikitext,halfA,real,5,16,0.013681592039800995,143000
pythia-160m,wikitext,halfA,real,5,64,0.011315417256011316,143000
pythia-160m,wikitext,halfA,real,5,256,0.012326656394453005,143000
pythia-160m,wikitext,halfA,real,5,1000,0.027692307692307693,143000
pythia-160m,wikitext,halfA,real,5,4000,0.04392764857881137,143000
pythia-160m,wikitext,halfA,real,5,16000,0.20075757575757575,143000
pythia-160m,wikitext,halfA,real,5,64000,0.41397849462365593,143000
pythia-160m,wikitext,halfA,real,5,143000,1.0,143000
pythia-160m,wikitext,halfA,real,6,0,0.012528473804100227,143000
pythia-160m,wikitext,halfA,real,6,1,0.012528473804100227,143000
pythia-160m,wikitext,halfA,real,6,4,0.013541666666666667,143000
pythia-160m,wikitext,halfA,real,6,16,0.013837638376383764,143000
pythia-160m,wikitext,halfA,real,6,64,0.01647058823529412,143000
pythia-160m,wikitext,halfA,real,6,256,0.0196078431372549,143000
pythia-160m,wikitext,halfA,real,6,1000,0.03795811518324607,143000
pythia-160m,wikitext,halfA,real,6,4000,0.06279620853080568,143000
pythia-160m,wikitext,halfA,real,6,16000,0.1004566210045662,143000
pythia-160m,wikitext,halfA,real,6,64000,0.24578651685393257,143000
pythia-160m,wikitext,halfA,real,6,143000,1.0,143000
pythia-160m,wikitext,halfA,real,7,0,0.013317191283292978,143000
pythia-160m,wikitext,halfA,real,7,1,0.013301088270858524,143000
pythia-160m,wikitext,halfA,real,7,4,0.012461059190031152,143000
pythia-160m,wikitext,halfA,real,7,16,0.016440608302507192,143000
pythia-160m,wikitext,halfA,real,7,64,0.015815085158150853,143000
pythia-160m,wikitext,halfA,real,7,256,0.03657262277951933,143000
pythia-160m,wikitext,halfA,real,7,1000,0.04200542005420054,143000
pythia-160m,wikitext,halfA,real,7,4000,0.0655367231638418,143000
pythia-160m,wikitext,halfA,real,7,16000,0.0945273631840796,143000
pythia-160m,wikitext,halfA,real,7,64000,0.1692524682651622,143000
pythia-160m,wikitext,halfA,real,7,143000,1.0,143000
pythia-160m,wikitext,halfA,real,8,0,0.014539579967689823,143000
pythia-160m,wikitext,halfA,real,8,1,0.014574898785425101,143000
pythia-160m,wikitext,halfA,real,8,4,0.013765182186234818,143000
pythia-160m,wikitext,halfA,real,8,16,0.01710261569416499,143000
pythia-160m,wikitext,halfA,real,8,64,0.018095238095238095,143000
pythia-160m,wikitext,halfA,real,8,256,0.016697588126159554,143000
pythia-160m,wikitext,halfA,real,8,1000,0.017932489451476793,143000
pythia-160m,wikitext,halfA,real,8,4000,0.03337612323491656,143000
pythia-160m,wikitext,halfA,real,8,16000,0.07379679144385026,143000
