domain,key,step,measure,value
bookcorpus,halfB,4,similarity_to_final,0.012396932597372413
bookcorpus,halfB,16,similarity_to_final,0.015302778519249124
bookcorpus,halfB,64,similarity_to_final,0.05463503392401168
bookcorpus,halfB,256,similarity_to_final,0.056281498467216556
bookcorpus,halfB,1000,similarity_to_final,0.08892043123697677
bookcorpus,halfB,4000,similarity_to_final,0.21758567907142148
bookcorpus,halfB,16000,similarity_to_final,0.42479320347904886
bookcorpus,halfB,64000,similarity_to_final,0.7383448895015086
bookcorpus,halfB,143000,similarity_to_final,0.9999999999999998
tldr17,halfA,1,similarity_to_previous,1.0
tldr17,halfA,4,similarity_to_previous,0.9978844075511217
tldr17,halfA,16,similarity_to_previous,0.7018119533446906
tldr17,halfA,64,similarity_to_previous,0.10023624993788924
tldr17,halfA,256,similarity_to_previous,0.4183714791157484
tldr17,halfA,1000,similarity_to_previous,0.18882694526333532
tldr17,halfA,4000,similarity_to_previous,0.24303130244997573
tldr17,halfA,16000,similarity_to_previous,0.48936028168798573
tldr17,halfA,64000,similarity_to_previous,0.5944162332801624
tldr17,halfA,143000,similarity_to_previous,0.7856635365867858
tldr17,halfA,0,similarity_to_final,0.010311666000083857
tldr17,halfA,1,similarity_to_final,0.010311666000083857
tldr17,halfA,4,similarity_to_final,0.010299405171756433
tldr17,halfA,16,similarity_to_final,0.010977492261003958
tldr17,halfA,64,similarity_to_final,0.06581197591478911
tldr17,halfA,256,similarity_to_final,0.07371823689426794
tldr17,halfA,1000,similarity_to_final,0.10188154941970573
tldr17,halfA,4000,similarity_to_final,0.2514256705691501
tldr17,halfA,16000,similarity_to_final,0.48043347641781803
tldr17,halfA,64000,similarity_to_final,0.7856635365867858
tldr17,halfA,143000,similarity_to_final,1.0
tldr17,-,0,similarity_between_halves,0.9952720772973597
tldr17,-,1,similarity_between_halves,0.9952720772973597
tldr17,-,4,similarity_between_halves,0.9952535238426863
tldr17,-,16,similarity_between_halves,0.9952364846707955
tldr17,-,64,similarity_between_halves,0.9983403745667847
tldr17,-,256,similarity_between_halves,0.9967839200189329
tldr17,-,1000,similarity_between_halves,0.9900340663902668
tldr17,-,4000,similarity_between_halves,0.9801793491377051
tldr17,-,16000,similarity_between_halves,0.9824129817888125
tldr17,-,64000,similarity_between_halves,0.9834814593437797
tldr17,-,143000,similarity_between_halves,0.9871612272550234
tldr17,halfB,1,similarity_to_previous,0.9999999999999999
tldr17,halfB,4,similarity_to_previous,0.9978760459474872
tldr17,halfB,16,similarity_to_previous,0.7004344086087424
tldr17,halfB,64,similarity_to_previous,0.10023589455842559
tldr17,halfB,256,similarity_to_previous,0.4149013315540255
tldr17,halfB,1000,similarity_to_previous,0.189312094683372
tldr17,halfB,4000,similarity_to_previous,0.24237049860353865
tldr17,halfB,16000,similarity_to_previous,0.48640232303632
tldr17,halfB,64000,similarity_to_previous,0.5907791588174381
tldr17,halfB,143000,similarity_to_previous,0.7840941337768617
tldr17,halfB,0,similarity_to_final,0.010246197042659647
tldr17,halfB,1,similarity_to_final,0.010246197042659647
tldr17,halfB,4,similarity_to_final,0.010211566740377842
tldr17,halfB,16,similarity_to_final,0.010634378925300015
tldr17,halfB,64,similarity_to_final,0.06448837614336823
tldr17,halfB,256,similarity_to_final,0.07250575480484311
tldr17,halfB,1000,similarity_to_final,0.10146733549849356
tldr17,halfB,4000,similarity_to_final,0.24938593359423838
tldr17,halfB,16000,similarity_to_final,0.4773476397341966
tldr17,halfB,64000,similarity_to_final,0.7840941337768617
tldr17,halfB,143000,similarity_to_final,0.9999999999999998
wikitext,halfA,1,similarity_to_previous,1.0
wikitext,halfA,4,similarity_to_previous,0.9981059680211484
wikitext,halfA,16,similarity_to_previous,0.7401003873407745
wikitext,halfA,64,similarity_to_previous,0.14758882522093206
wikitext,halfA,256,similarity_to_previous,0.41223532730589774
wikitext,halfA,1000,similarity_to_previous,0.14320180096097604
wikitext,halfA,4000,similarity_to_previous,0.2086156982010697
wikitext,halfA,16000,similarity_to_previous,0.4705195991362538
wikitext,halfA,64000,similarity_to_previous,0.5966142772210036
wikitext,halfA,143000,similarity_to_previous,0.7766084206486277
wikitext,halfA,0,similarity_to_final,0.012810639848778954
wikitext,halfA,1,similarity_to_final,0.012810639848778954
wikitext,halfA,4,similarity_to_final,0.012900098645869716
wikitext,halfA,16,similarity_to_final,0.015089774766813448
wikitext,halfA,64,similarity_to_final,0.055568868135313525
wikitext,halfA,256,similarity_to_final,0.06053143660237266
wikitext,halfA,1000,similarity_to_final,0.08558118351477581
wikitext,halfA,4000,similarity_to_final,0.25861396318280044
wikitext,halfA,16000,similarity_to_final,0.49077784001739505
wikitext,halfA,64000,similarity_to_final,0.7766084206486277
wikitext,halfA,143000,similarity_to_final,1.0
wikitext,-,0,similarity_between_halves,0.995342280888173
wikitext,-,1,similarity_between_halves,0.995342280888173
wikitext,-,4,similarity_between_halves,0.9953398587887545
wikitext,-,16,similarity_between_halves,0.9955634773212176
wikitext,-,64,similarity_between_halves,0.9981121728181036
wikitext,-,256,similarity_between_halves,0.9972200117803744
wikitext,-,1000,similarity_between_halves,0.9911066564958527
wikitext,-,4000,similarity_between_halves,0.9846579541502873
wikitext,-,16000,similarity_between_halves,0.9862081024035262
wikitext,-,64000,similarity_between_halves,0.9865993814472345
wikitext,-,143000,similarity_between_halves,0.9895011340406689
wikitext,halfB,1,similarity_to_previous,1.0
wikitext,halfB,4,similarity_to_previous,0.9980975035090048
wikitext,halfB,16,similarity_to_previous,0.7396048088337854
wikitext,halfB,64,similarity_to_previous,0.14757888882122525
wikitext,halfB,256,similarity_to_previous,0.4145678871706904
wikitext,halfB,1000,similarity_to_previous,0.14436260279587076
wikitext,halfB,4000,similarity_to_previous,0.21000408104590523
wikitext,halfB,16000,similarity_to_previous,0.47192606661766145
wikitext,halfB,64000,similarity_to_previous,0.5965193541207011
wikitext,halfB,143000,similarity_to_previous,0.7767279103512675
wikitext,halfB,0,similarity_to_final,0.013107448471322815
