step,domain,key,tree,measure,value
0,agnews,halfA,real,selectivity_coherence_median,0.32227083083969266
0,agnews,halfA,real,selectivity_frac_coherent,0.08
0,agnews,halfA,real,selectivity_prefers_whitespace,0.03
0,agnews,halfA,real,selectivity_prefers_punctuation,0.33
0,agnews,halfA,real,selectivity_prefers_digit,0.05
0,agnews,halfA,real,selectivity_prefers_function_word,0.33
0,agnews,halfA,real,selectivity_prefers_content_word,0.11
0,agnews,halfA,real,selectivity_prefers_continuation,0.15
0,agnews,halfA,real,selectivity_prefers_other,0.0
0,agnews,halfA,null,selectivity_coherence_median,0.16090109579333428
0,agnews,halfA,null,selectivity_frac_coherent,0.0
0,agnews,halfA,null,selectivity_prefers_whitespace,0.0
0,agnews,halfA,null,selectivity_prefers_punctuation,0.06
0,agnews,halfA,null,selectivity_prefers_digit,0.02
0,agnews,halfA,null,selectivity_prefers_function_word,0.25
0,agnews,halfA,null,selectivity_prefers_content_word,0.32
0,agnews,halfA,null,selectivity_prefers_continuation,0.35
0,agnews,halfA,null,selectivity_prefers_other,0.0
0,agnews,halfB,real,selectivity_coherence_median,0.31704481653902
0,agnews,halfB,real,selectivity_frac_coherent,0.07
0,agnews,halfB,real,selectivity_prefers_whitespace,0.04
0,agnews,halfB,real,selectivity_prefers_punctuation,0.32
0,agnews,halfB,real,selectivity_prefers_digit,0.06
0,agnews,halfB,real,selectivity_prefers_function_word,0.32
0,agnews,halfB,real,selectivity_prefers_content_word,0.11
0,agnews,halfB,real,selectivity_prefers_continuation,0.15
0,agnews,halfB,real,selectivity_prefers_other,0.0
0,agnews,halfB,null,selectivity_coherence_median,0.16667703772224707
0,agnews,halfB,null,selectivity_frac_coherent,0.0
0,agnews,halfB,null,selectivity_prefers_whitespace,0.01
0,agnews,halfB,null,selectivity_prefers_punctuation,0.06
0,agnews,halfB,null,selectivity_prefers_digit,0.06
0,agnews,halfB,null,selectivity_prefers_function_word,0.19
0,agnews,halfB,null,selectivity_prefers_content_word,0.29
0,agnews,halfB,null,selectivity_prefers_continuation,0.39
0,agnews,halfB,null,selectivity_prefers_other,0.0
0,bookcorpus,halfA,real,selectivity_coherence_median,0.35752738808987683
0,bookcorpus,halfA,real,selectivity_frac_coherent,0.11
0,bookcorpus,halfA,real,selectivity_prefers_whitespace,0.0
0,bookcorpus,halfA,real,selectivity_prefers_punctuation,0.37
0,bookcorpus,halfA,real,selectivity_prefers_digit,0.18
0,bookcorpus,halfA,real,selectivity_prefers_function_word,0.27
0,bookcorpus,halfA,real,selectivity_prefers_content_word,0.05
0,bookcorpus,halfA,real,selectivity_prefers_continuation,0.13
0,bookcorpus,halfA,real,selectivity_prefers_other,0.0
0,bookcorpus,halfA,null,selectivity_coherence_median,0.17430125034340965
0,bookcorpus,halfA,null,selectivity_frac_coherent,0.0
0,bookcorpus,halfA,null,selectivity_prefers_whitespace,0.0
0,bookcorpus,halfA,null,selectivity_prefers_punctuation,0.0
0,bookcorpus,halfA,null,selectivity_prefers_digit,0.39
0,bookcorpus,halfA,null,selectivity_prefers_function_word,0.16
0,bookcorpus,halfA,null,selectivity_prefers_content_word,0.17
0,bookcorpus,halfA,null,selectivity_prefers_continuation,0.28
0,bookcorpus,halfA,null,selectivity_prefers_other,0.0
0,bookcorpus,halfB,real,selectivity_coherence_median,0.3478466994709591
0,bookcorpus,halfB,real,selectivity_frac_coherent,0.11
0,bookcorpus,halfB,real,selectivity_prefers_whitespace,0.0
0,bookcorpus,halfB,real,selectivity_prefers_punctuation,0.35
0,bookcorpus,halfB,real,selectivity_prefers_digit,0.16
0,bookcorpus,halfB,real,selectivity_prefers_function_word,0.29
0,bookcorpus,halfB,real,selectivity_prefers_content_word,0.05
0,bookcorpus,halfB,real,selectivity_prefers_continuation,0.14
0,bookcorpus,halfB,real,selectivity_prefers_other,0.01
0,bookcorpus,halfB,null,selectivity_coherence_median,0.17178851032971926
0,bookcorpus,halfB,null,selectivity_frac_coherent,0.0
0,bookcorpus,halfB,null,selectivity_prefers_whitespace,0.0
0,bookcorpus,halfB,null,selectivity_prefers_punctuation,0.01
0,bookcorpus,halfB,null,selectivity_prefers_digit,0.34
0,bookcorpus,halfB,null,selectivity_prefers_function_word,0.19
0,bookcorpus,halfB,null,selectivity_prefers_content_word,0.16
0,bookcorpus,halfB,null,selectivity_prefers_continuation,0.3
0,bookcorpus,halfB,null,selectivity_prefers_other,0.0
0,tldr17,halfA,real,selectivity_coherence_median,0.41735828070547754
0,tldr17,halfA,real,selectivity_frac_coherent,0.25
0,tldr17,halfA,real,selectivity_prefers_whitespace,0.11
0,tldr17,halfA,real,selectivity_prefers_punctuation,0.34
0,tldr17,halfA,real,selectivity_prefers_digit,0.07
0,tldr17,halfA,real,selectivity_prefers_function_word,0.26
0,tldr17,halfA,real,selectivity_prefers_content_word,0.09
0,tldr17,halfA,real,selectivity_prefers_continuation,0.11
0,tldr17,halfA,real,selectivity_prefers_other,0.02
0,tldr17,halfA,null,selectivity_coherence_median,0.10719928992269252
0,tldr17,halfA,null,selectivity_frac_coherent,0.0
0,tldr17,halfA,null,selectivity_prefers_whitespace,0.01
0,tldr17,halfA,null,selectivity_prefers_punctuation,0.01
0,tldr17,halfA,null,selectivity_prefers_digit,0.2
0,tldr17,halfA,null,selectivity_prefers_function_word,0.19
0,tldr17,halfA,null,selectivity_prefers_content_word,0.27
0,tldr17,halfA,null,selectivity_prefers_continuation,0.31
0,tldr17,halfA,null,selectivity_prefers_other,0.01
0,tldr17,halfB,real,selectivity_coherence_median,0.3907621650514641
0,tldr17,halfB,real,selectivity_frac_coherent,0.26
0,tldr17,halfB,real,selectivity_prefers_whitespace,0.07
0,tldr17,halfB,real,selectivity_prefers_punctuation,0.36
0,tldr17,halfB,real,selectivity_prefers_digit,0.07
0,tldr17,halfB,real,selectivity_prefers_function_word,0.25
0,tldr17,halfB,real,selectivity_prefers_content_word,0.08
0,tldr17,halfB,real,selectivity_prefers_continuation,0.16
0,tldr17,halfB,real,selectivity_prefers_other,0.01
0,tldr17,halfB,null,selectivity_coherence_median,0.1132909652945116
0,tldr17,halfB,null,selectivity_frac_coherent,0.0
0,tldr17,halfB,null,selectivity_prefers_whitespace,0.0
0,tldr17,halfB,null,selectivity_prefers_punctuation,0.03
0,tldr17,halfB,null,selectivity_prefers_digit,0.22
0,tldr17,halfB,null,selectivity_prefers_function_word,0.19
0,tldr17,halfB,null,selectivity_prefers_content_word,0.19
0,tldr17,halfB,null,selectivity_prefers_continuation,0.36
0,tldr17,halfB,null,selectivity_prefers_other,0.01
0,wikitext,halfA,real,selectivity_coherence_median,0.34659356865766233
0,wikitext,halfA,real,selectivity_frac_coherent,0.09
0,wikitext,halfA,real,selectivity_prefers_whitespace,0.03
0,wikitext,halfA,real,selectivity_prefers_punctuation,0.33
0,wikitext,halfA,real,selectivity_prefers_digit,0.21
0,wikitext,halfA,real,selectivity_prefers_function_word,0.26
0,wikitext,halfA,real,selectivity_prefers_content_word,0.05
0,wikitext,halfA,real,selectivity_prefers_continuation,0.09
0,wikitext,halfA,real,selectivity_prefers_other,0.03
0,wikitext,halfA,null,selectivity_coherence_median,0.15527290925739473
0,wikitext,halfA,null,selectivity_frac_coherent,0.0
0,wikitext,halfA,null,selectivity_prefers_whitespace,0.0
0,wikitext,halfA,null,selectivity_prefers_punctuation,0.02
0,wikitext,halfA,null,selectivity_prefers_digit,0.33
0,wikitext,halfA,null,selectivity_prefers_function_word,0.15
0,wikitext,halfA,null,selectivity_prefers_content_word,0.2
0,wikitext,halfA,null,selectivity_prefers_continuation,0.27
0,wikitext,halfA,null,selectivity_prefers_other,0.03
0,wikitext,halfB,real,selectivity_coherence_median,0.34934531816955877
0,wikitext,halfB,real,selectivity_frac_coherent,0.1
0,wikitext,halfB,real,selectivity_prefers_whitespace,0.03
0,wikitext,halfB,real,selectivity_prefers_punctuation,0.34
0,wikitext,halfB,real,selectivity_prefers_digit,0.17
0,wikitext,halfB,real,selectivity_prefers_function_word,0.28
0,wikitext,halfB,real,selectivity_prefers_content_word,0.02
0,wikitext,halfB,real,selectivity_prefers_continuation,0.13
0,wikitext,halfB,real,selectivity_prefers_other,0.03
0,wikitext,halfB,null,selectivity_coherence_median,0.15466347633553207
0,wikitext,halfB,null,selectivity_frac_coherent,0.0
0,wikitext,halfB,null,selectivity_prefers_whitespace,0.0
0,wikitext,halfB,null,selectivity_prefers_punctuation,0.04
0,wikitext,halfB,null,selectivity_prefers_digit,0.22
0,wikitext,halfB,null,selectivity_prefers_function_word,0.13
0,wikitext,halfB,null,selectivity_prefers_content_word,0.17
0,wikitext,halfB,null,selectivity_prefers_continuation,0.43
0,wikitext,halfB,null,selectivity_prefers_other,0.01
1000,agnews,halfA,real,selectivity_coherence_median,0.4617681102910841
1000,agnews,halfA,real,selectivity_frac_coherent,0.39
1000,agnews,halfA,real,selectivity_prefers_whitespace,0.03
1000,agnews,halfA,real,selectivity_prefers_punctuation,0.16
1000,agnews,halfA,real,selectivity_prefers_digit,0.09
1000,agnews,halfA,real,selectivity_prefers_function_word,0.18
1000,agnews,halfA,real,selectivity_prefers_content_word,0.31
1000,agnews,halfA,real,selectivity_prefers_continuation,0.19
1000,agnews,halfA,real,selectivity_prefers_other,0.04
1000,agnews,halfA,null,selectivity_coherence_median,0.15012430511868274
1000,agnews,halfA,null,selectivity_frac_coherent,0.0
1000,agnews,halfA,null,selectivity_prefers_whitespace,0.01
1000,agnews,halfA,null,selectivity_prefers_punctuation,0.1
1000,agnews,halfA,null,selectivity_prefers_digit,0.02
1000,agnews,halfA,null,selectivity_prefers_function_word,0.08
1000,agnews,halfA,null,selectivity_prefers_content_word,0.74
1000,agnews,halfA,null,selectivity_prefers_continuation,0.05
1000,agnews,halfA,null,selectivity_prefers_other,0.0
1000,agnews,halfB,real,selectivity_coherence_median,0.4609813058462632
1000,agnews,halfB,real,selectivity_frac_coherent,0.42
1000,agnews,halfB,real,selectivity_prefers_whitespace,0.04
1000,agnews,halfB,real,selectivity_prefers_punctuation,0.15
1000,agnews,halfB,real,selectivity_prefers_digit,0.09
1000,agnews,halfB,real,selectivity_prefers_function_word,0.2
1000,agnews,halfB,real,selectivity_prefers_content_word,0.29
1000,agnews,halfB,real,selectivity_prefers_continuation,0.19
1000,agnews,halfB,real,selectivity_prefers_other,0.04
1000,agnews,halfB,null,selectivity_coherence_median,0.16862962738344855
1000,agnews,halfB,null,selectivity_frac_coherent,0.0
1000,agnews,halfB,null,selectivity_prefers_whitespace,0.0
1000,agnews,halfB,null,selectivity_prefers_punctuation,0.04
1000,agnews,halfB,null,selectivity_prefers_digit,0.03
1000,agnews,halfB,null,selectivity_prefers_function_word,0.06
1000,agnews,halfB,null,selectivity_prefers_content_word,0.81
1000,agnews,halfB,null,selectivity_prefers_continuation,0.06
1000,agnews,halfB,null,selectivity_prefers_other,0.0
1000,bookcorpus,halfA,real,selectivity_coherence_median,0.4254206045561762
1000,bookcorpus,halfA,real,selectivity_frac_coherent,0.15
1000,bookcorpus,halfA,real,selectivity_prefers_whitespace,0.02
1000,bookcorpus,halfA,real,selectivity_prefers_punctuation,0.19
1000,bookcorpus,halfA,real,selectivity_prefers_digit,0.06
1000,bookcorpus,halfA,real,selectivity_prefers_function_word,0.25
1000,bookcorpus,halfA,real,selectivity_prefers_content_word,0.34
1000,bookcorpus,halfA,real,selectivity_prefers_continuation,0.08
1000,bookcorpus,halfA,real,selectivity_prefers_other,0.06
1000,bookcorpus,halfA,null,selectivity_coherence_median,0.18888504724730687
1000,bookcorpus,halfA,null,selectivity_frac_coherent,0.01
1000,bookcorpus,halfA,null,selectivity_prefers_whitespace,0.02
1000,bookcorpus,halfA,null,selectivity_prefers_punctuation,0.0
1000,bookcorpus,halfA,null,selectivity_prefers_digit,0.09
1000,bookcorpus,halfA,null,selectivity_prefers_function_word,0.23
1000,bookcorpus,halfA,null,selectivity_prefers_content_word,0.63
1000,bookcorpus,halfA,null,selectivity_prefers_continuation,0.02
1000,bookcorpus,halfA,null,selectivity_prefers_other,0.01
1000,bookcorpus,halfB,real,selectivity_coherence_median,0.4192623931905335
1000,bookcorpus,halfB,real,selectivity_frac_coherent,0.13
1000,bookcorpus,halfB,real,selectivity_prefers_whitespace,0.01
1000,bookcorpus,halfB,real,selectivity_prefers_punctuation,0.21
1000,bookcorpus,halfB,real,selectivity_prefers_digit,0.04
1000,bookcorpus,halfB,real,selectivity_prefers_function_word,0.27
1000,bookcorpus,halfB,real,selectivity_prefers_content_word,0.32
1000,bookcorpus,halfB,real,selectivity_prefers_continuation,0.08
1000,bookcorpus,halfB,real,selectivity_prefers_other,0.07
1000,bookcorpus,halfB,null,selectivity_coherence_median,0.18213407810569188
1000,bookcorpus,halfB,null,selectivity_frac_coherent,0.0
1000,bookcorpus,halfB,null,selectivity_prefers_whitespace,0.0
1000,bookcorpus,halfB,null,selectivity_prefers_punctuation,0.02
1000,bookcorpus,halfB,null,selectivity_prefers_digit,0.17
1000,bookcorpus,halfB,null,selectivity_prefers_function_word,0.19
1000,bookcorpus,halfB,null,selectivity_prefers_content_word,0.57
1000,bookcorpus,halfB,null,selectivity_prefers_continuation,0.05
1000,bookcorpus,halfB,null,selectivity_prefers_other,0.0
1000,tldr17,halfA,real,selectivity_coherence_median,0.49541079587592707
1000,tldr17,halfA,real,selectivity_frac_coherent,0.49
1000,tldr17,halfA,real,selectivity_prefers_whitespace,0.08
1000,tldr17,halfA,real,selectivity_prefers_punctuation,0.14
1000,tldr17,halfA,real,selectivity_prefers_digit,0.03
1000,tldr17,halfA,real,selectivity_prefers_function_word,0.17
1000,tldr17,halfA,real,selectivity_prefers_content_word,0.27
1000,tldr17,halfA,real,selectivity_prefers_continuation,0.13
1000,tldr17,halfA,real,selectivity_prefers_other,0.18
1000,tldr17,halfA,null,selectivity_coherence_median,0.13032989721135188
1000,tldr17,halfA,null,selectivity_frac_coherent,0.0
1000,tldr17,halfA,null,selectivity_prefers_whitespace,0.0
1000,tldr17,halfA,null,selectivity_prefers_punctuation,0.0
1000,tldr17,halfA,null,selectivity_prefers_digit,0.07
