size,step,split_half_r,split_half_min,split_half_max,across_domain_r,across_min,across_max,null_split_half_r,null_across_r,n_domains,n_pairs
70m,0,0.996887391012272,0.9959827674155792,0.9985283260407158,0.5391214540026794,0.39085812410674997,0.8149737774556908,0.0004527832012178498,0.0003747994402496894,4,12
70m,1,0.996887391012272,0.9959827674155792,0.9985283260407158,0.5391214540026794,0.39085812410674997,0.8149737774556908,0.0004527832012178498,0.0003747994402496894,4,12
70m,4,0.9968877710994273,0.9959838868399902,0.9985283738784483,0.5392324909546331,0.39102481552501195,0.8150113572714365,0.0004522721846701293,0.0003749504446890422,4,12
70m,16,0.9968884916555567,0.9959973223601317,0.9985254544411899,0.5444387961818725,0.3994094122649839,0.8168641450756862,0.00046423984941527263,0.0003727431232605634,4,12
70m,64,0.9988989648726794,0.9981213846795437,0.9994937093560193,0.7340826843525327,0.5900080215463233,0.9302972909755122,0.001015680447545874,0.0006508278061546908,4,12
70m,256,0.9980417094583303,0.9969945915479579,0.9992457395014632,0.6793985248348896,0.5857720318289011,0.7942675878096164,0.016867099401375645,0.009082744242485058,4,12
70m,1000,0.9949831967537965,0.9928230048788725,0.997744431229827,0.5175980332337103,0.38340356169783935,0.609575629802782,0.012376596164026253,0.00767390491489306,4,12
70m,4000,0.9919736515012856,0.9885451833014663,0.9963090571485155,0.4600100628683734,0.3069522635868979,0.5563715984079166,0.019865248326708655,0.012203490813055362,4,12
70m,16000,0.9926361227599549,0.989155101106559,0.996436617511958,0.5160953087013275,0.3894438466710162,0.6154818017140226,0.028177253843238135,0.01761010153750364,4,12
70m,64000,0.9921196606859874,0.9885451506878925,0.9960118572443487,0.5195381117358909,0.39050948655716305,0.6094894439330099,0.03980695069030822,0.025981096697755716,4,12
70m,143000,0.9943046530927014,0.9911931478096503,0.9973608970695208,0.5691298970089941,0.4469611568536176,0.666845809332704,0.04194466218933502,0.02827341169777915,4,12
160m,0,0.9962985582531994,0.9953973586985637,0.998068525311107,0.5300599107775193,0.38288816981840923,0.7999215336556108,0.005482979578254788,0.0049429589792536295,4,12
160m,1,0.9962985582531994,0.9953973586985637,0.998068525311107,0.5300599107775193,0.38288816981840923,0.7999215336556108,0.005482979578254788,0.0049429589792536295,4,12
160m,4,0.9962917472556974,0.9953911394124876,0.9980704592809919,0.5293803382634863,0.38188569230710034,0.7995313618758082,0.005480025830507304,0.004938836660794584,4,12
160m,16,0.9963847948540623,0.9953688687243593,0.9981704708666251,0.5280668487109288,0.3807922524244033,0.8032773545965814,0.0033563458188456555,0.0029710069149174023,4,12
160m,64,0.9987640088890203,0.9980298319612538,0.9994768940785863,0.748363985776951,0.6337342785299798,0.883874228788962,0.007107515048508855,0.005059195504521425,4,12
160m,256,0.9979091117664104,0.996798324901526,0.9992320483325423,0.659962328313289,0.572173331775631,0.7544568930598103,0.023895184959402228,0.013421138798061276,4,12
160m,1000,0.9929336037474208,0.9901912807256965,0.9970016500292085,0.4329069135328211,0.2889979599575785,0.5252346536653234,0.014954221198398206,0.009440088118084593,4,12
160m,4000,0.9860724200506726,0.9803896253923743,0.9934638452313621,0.3808155514453114,0.23984752955749253,0.4669952950699718,0.019262511626624648,0.011044773825876713,4,12
160m,16000,0.9875178282650589,0.98232327335877,0.9937804663899689,0.4621436537781547,0.3306448203525544,0.5481692687351891,0.02739070547008102,0.016266499978383565,4,12
160m,64000,0.9885320908491155,0.9836206930113222,0.9943216552143616,0.48089343517107946,0.3510678193604849,0.5660956528987956,0.038105862631691606,0.024078764342305815,4,12
160m,143000,0.9911790435546067,0.9873055042582672,0.9959182545026145,0.5123325466958837,0.3811502127537533,0.6044042795197303,0.041499823568072844,0.02738379376322298,4,12
