tree,variant,metric,fit,eval,value
real,(ceiling),fidelity_within,wikitext,wikitext,0.9747874897582266
real,(ceiling),fidelity_within_r,wikitext,wikitext,0.9873717009599972
real,vmf_pca100_lloyd100,reliability_within,wikitext,wikitext,0.6021268615104063
real,vmf_pca100_lloyd100,reliability_within_coassoc,wikitext,wikitext,0.9105308483221011
real,vmf_pca100_lloyd100,fidelity_within,wikitext,wikitext,0.21680547756762092
real,vmf_pca100_lloyd100,fidelity_within_r,wikitext,wikitext,0.4656251087496628
real,vmf_pca100_lloyd100,fidelity_within_insample,wikitext,wikitext,0.21658782589449832
real,vmf_pca100_lloyd100,reliability_ceiling,wikitext,wikitext,0.6621551216846191
real,vmf_pca100_lloyd100,triviality_ami_layer,wikitext,wikitext,0.1417464367449989
real,vmf_pca100_lloyd100,triviality_ami_dimension,wikitext,wikitext,-0.0015126283242027666
real,vmf_pca100_lloyd100,triviality_ami_hubness,wikitext,wikitext,0.07886596148053698
real,vmf_pca100_lloyd100,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_pca100_lloyd100,triviality_entropy_effective_networks,wikitext,wikitext,90.67090059738585
real,vmf_pca100_lloyd100,triviality_median_max_membership,wikitext,wikitext,0.625
real,vmf_pca100_lloyd100,triviality_frac_confident,wikitext,wikitext,0.667167467948718
real,vmf_pca100_lloyd100_bm_degree,reliability_within,wikitext,wikitext,0.3894705392912987
real,vmf_pca100_lloyd100_bm_degree,reliability_within_coassoc,wikitext,wikitext,0.9105308483221011
real,vmf_pca100_lloyd100_bm_degree,fidelity_within,wikitext,wikitext,0.31478090572154616
real,vmf_pca100_lloyd100_bm_degree,fidelity_within_r,wikitext,wikitext,0.5610584356352577
real,vmf_pca100_lloyd100_bm_degree,fidelity_within_insample,wikitext,wikitext,0.3133094380107898
real,vmf_pca100_lloyd100_bm_degree,reliability_ceiling,wikitext,wikitext,0.5368006278000772
real,vmf_pca100_lloyd100_bm_degree,triviality_ami_layer,wikitext,wikitext,0.14748831004858434
real,vmf_pca100_lloyd100_bm_degree,triviality_ami_dimension,wikitext,wikitext,-5.043390904261424e-05
real,vmf_pca100_lloyd100_bm_degree,triviality_ami_hubness,wikitext,wikitext,0.1406359530797887
real,vmf_pca100_lloyd100_bm_degree,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_pca100_lloyd100_bm_degree,triviality_entropy_effective_networks,wikitext,wikitext,72.8558502170829
real,vmf_pca100_lloyd100_bm_degree,triviality_median_max_membership,wikitext,wikitext,1.0
real,vmf_pca100_lloyd100_bm_degree,triviality_frac_confident,wikitext,wikitext,1.0
real,vmf_pca100_lloyd100_bm_double,reliability_within,wikitext,wikitext,0.5542866016359814
real,vmf_pca100_lloyd100_bm_double,reliability_within_coassoc,wikitext,wikitext,0.9105308483221011
real,vmf_pca100_lloyd100_bm_double,fidelity_within,wikitext,wikitext,0.3425413009649282
real,vmf_pca100_lloyd100_bm_double,fidelity_within_r,wikitext,wikitext,0.585275249004545
real,vmf_pca100_lloyd100_bm_double,fidelity_within_insample,wikitext,wikitext,0.34102203902533035
real,vmf_pca100_lloyd100_bm_double,reliability_ceiling,wikitext,wikitext,0.5482563763617672
real,vmf_pca100_lloyd100_bm_double,triviality_ami_layer,wikitext,wikitext,0.14508832916583647
real,vmf_pca100_lloyd100_bm_double,triviality_ami_dimension,wikitext,wikitext,0.0008377853900992171
real,vmf_pca100_lloyd100_bm_double,triviality_ami_hubness,wikitext,wikitext,0.1880867505782669
real,vmf_pca100_lloyd100_bm_double,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_pca100_lloyd100_bm_double,triviality_entropy_effective_networks,wikitext,wikitext,73.8205196894537
real,vmf_pca100_lloyd100_bm_double,triviality_median_max_membership,wikitext,wikitext,1.0
real,vmf_pca100_lloyd100_bm_double,triviality_frac_confident,wikitext,wikitext,1.0
real,vmf_pca100_lloyd100_bm_raw,reliability_within,wikitext,wikitext,0.43127971701093215
real,vmf_pca100_lloyd100_bm_raw,reliability_within_coassoc,wikitext,wikitext,0.9105308483221011
real,vmf_pca100_lloyd100_bm_raw,fidelity_within,wikitext,wikitext,0.36984039794263457
real,vmf_pca100_lloyd100_bm_raw,fidelity_within_r,wikitext,wikitext,0.6081486461596617
real,vmf_pca100_lloyd100_bm_raw,fidelity_within_insample,wikitext,wikitext,0.3687018932627375
real,vmf_pca100_lloyd100_bm_raw,reliability_ceiling,wikitext,wikitext,0.4723118574438347
real,vmf_pca100_lloyd100_bm_raw,triviality_ami_layer,wikitext,wikitext,0.13642864831800633
real,vmf_pca100_lloyd100_bm_raw,triviality_ami_dimension,wikitext,wikitext,-0.00015953551679909943
real,vmf_pca100_lloyd100_bm_raw,triviality_ami_hubness,wikitext,wikitext,0.3633539582426825
real,vmf_pca100_lloyd100_bm_raw,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_pca100_lloyd100_bm_raw,triviality_entropy_effective_networks,wikitext,wikitext,75.86664439048272
