tree,variant,domain,direction,metric,value
real,vmf_lloyd100,bookcorpus,halfB->halfA,n_iter,14.0
real,vmf_lloyd100,bookcorpus,halfB->halfA,n_clusters,100.0
pnull,vmf_lloyd100,bookcorpus,halfA->halfB,yardstick_ari,0.004034257696376439
pnull,vmf_lloyd100,bookcorpus,halfA->halfB,reliability_ari,0.004990045273955651
pnull,vmf_lloyd100,bookcorpus,halfA->halfB,inertia_ratio,1.0022543478949095
pnull,vmf_lloyd100,bookcorpus,halfA->halfB,n_iter,40.0
pnull,vmf_lloyd100,bookcorpus,halfA->halfB,n_clusters,100.0
pnull,vmf_lloyd100,bookcorpus,halfB->halfA,yardstick_ari,0.005283665013720753
pnull,vmf_lloyd100,bookcorpus,halfB->halfA,reliability_ari,0.006288491039893381
pnull,vmf_lloyd100,bookcorpus,halfB->halfA,inertia_ratio,1.0021010252916376
pnull,vmf_lloyd100,bookcorpus,halfB->halfA,n_iter,33.0
pnull,vmf_lloyd100,bookcorpus,halfB->halfA,n_clusters,100.0
real,vmf_pca100_lloyd100,bookcorpus,halfA->halfB,yardstick_ari,0.8044113574823522
real,vmf_pca100_lloyd100,bookcorpus,halfA->halfB,reliability_ari,0.6257630234152263
real,vmf_pca100_lloyd100,bookcorpus,halfA->halfB,inertia_ratio,0.9936290925954848
real,vmf_pca100_lloyd100,bookcorpus,halfA->halfB,n_iter,17.0
real,vmf_pca100_lloyd100,bookcorpus,halfA->halfB,n_clusters,100.0
real,vmf_pca100_lloyd100,bookcorpus,halfB->halfA,yardstick_ari,0.78254026631877
real,vmf_pca100_lloyd100,bookcorpus,halfB->halfA,reliability_ari,0.6257630234152263
real,vmf_pca100_lloyd100,bookcorpus,halfB->halfA,inertia_ratio,0.9938898585233987
real,vmf_pca100_lloyd100,bookcorpus,halfB->halfA,n_iter,11.0
real,vmf_pca100_lloyd100,bookcorpus,halfB->halfA,n_clusters,100.0
pnull,vmf_pca100_lloyd100,bookcorpus,halfA->halfB,yardstick_ari,0.00906620042584283
pnull,vmf_pca100_lloyd100,bookcorpus,halfA->halfB,reliability_ari,0.009734119773068648
pnull,vmf_pca100_lloyd100,bookcorpus,halfA->halfB,inertia_ratio,1.0057256615781218
pnull,vmf_pca100_lloyd100,bookcorpus,halfA->halfB,n_iter,50.0
pnull,vmf_pca100_lloyd100,bookcorpus,halfA->halfB,n_clusters,100.0
pnull,vmf_pca100_lloyd100,bookcorpus,halfB->halfA,yardstick_ari,0.008757665168455797
pnull,vmf_pca100_lloyd100,bookcorpus,halfB->halfA,reliability_ari,0.00903213388216795
pnull,vmf_pca100_lloyd100,bookcorpus,halfB->halfA,inertia_ratio,1.0100511230200142
pnull,vmf_pca100_lloyd100,bookcorpus,halfB->halfA,n_iter,68.0
pnull,vmf_pca100_lloyd100,bookcorpus,halfB->halfA,n_clusters,100.0
real,vmf_ward100,bookcorpus,halfA->halfB,yardstick_ari,0.3325683767459516
real,vmf_ward100,bookcorpus,halfA->halfB,reliability_ari,0.24801198089320722
real,vmf_ward100,bookcorpus,halfA->halfB,inertia_ratio,0.9514246963471565
real,vmf_ward100,bookcorpus,halfA->halfB,n_iter,24.0
real,vmf_ward100,bookcorpus,halfA->halfB,n_clusters,100.0
real,vmf_ward100,bookcorpus,halfB->halfA,yardstick_ari,0.337159377743347
real,vmf_ward100,bookcorpus,halfB->halfA,reliability_ari,0.24801198089320722
real,vmf_ward100,bookcorpus,halfB->halfA,inertia_ratio,0.9546019557654528
real,vmf_ward100,bookcorpus,halfB->halfA,n_iter,17.0
real,vmf_ward100,bookcorpus,halfB->halfA,n_clusters,100.0
pnull,vmf_ward100,bookcorpus,halfA->halfB,yardstick_ari,0.006985519043538608
pnull,vmf_ward100,bookcorpus,halfA->halfB,reliability_ari,0.0051153024025118584
pnull,vmf_ward100,bookcorpus,halfA->halfB,inertia_ratio,0.9575302016610554
pnull,vmf_ward100,bookcorpus,halfA->halfB,n_iter,34.0
pnull,vmf_ward100,bookcorpus,halfA->halfB,n_clusters,100.0
pnull,vmf_ward100,bookcorpus,halfB->halfA,yardstick_ari,0.007655658636460586
pnull,vmf_ward100,bookcorpus,halfB->halfA,reliability_ari,0.007310543987668872
pnull,vmf_ward100,bookcorpus,halfB->halfA,inertia_ratio,0.961378543882175
pnull,vmf_ward100,bookcorpus,halfB->halfA,n_iter,50.0
pnull,vmf_ward100,bookcorpus,halfB->halfA,n_clusters,100.0
real,vmf_lloyd100,agnews,halfA->halfB,yardstick_ari,0.7837843696365382
real,vmf_lloyd100,agnews,halfA->halfB,reliability_ari,0.6527858385497799
real,vmf_lloyd100,agnews,halfA->halfB,inertia_ratio,0.9948414003946352
real,vmf_lloyd100,agnews,halfA->halfB,n_iter,11.0
real,vmf_lloyd100,agnews,halfA->halfB,n_clusters,100.0
real,vmf_lloyd100,agnews,halfB->halfA,yardstick_ari,0.7572234422091184
real,vmf_lloyd100,agnews,halfB->halfA,reliability_ari,0.6527858385497799
real,vmf_lloyd100,agnews,halfB->halfA,inertia_ratio,0.9950972019811631
real,vmf_lloyd100,agnews,halfB->halfA,n_iter,14.0
real,vmf_lloyd100,agnews,halfB->halfA,n_clusters,100.0
pnull,vmf_lloyd100,agnews,halfA->halfB,yardstick_ari,0.0161687620780827
pnull,vmf_lloyd100,agnews,halfA->halfB,reliability_ari,0.013977423040815968
pnull,vmf_lloyd100,agnews,halfA->halfB,inertia_ratio,1.008374781088556
pnull,vmf_lloyd100,agnews,halfA->halfB,n_iter,72.0
pnull,vmf_lloyd100,agnews,halfA->halfB,n_clusters,100.0
pnull,vmf_lloyd100,agnews,halfB->halfA,yardstick_ari,0.01648488072984207
pnull,vmf_lloyd100,agnews,halfB->halfA,reliability_ari,0.012963490276133237
pnull,vmf_lloyd100,agnews,halfB->halfA,inertia_ratio,1.0139664159236201
pnull,vmf_lloyd100,agnews,halfB->halfA,n_iter,35.0
pnull,vmf_lloyd100,agnews,halfB->halfA,n_clusters,100.0
real,vmf_pca100_lloyd100,agnews,halfA->halfB,yardstick_ari,0.8069635328913397
real,vmf_pca100_lloyd100,agnews,halfA->halfB,reliability_ari,0.6269940482242482
real,vmf_pca100_lloyd100,agnews,halfA->halfB,inertia_ratio,0.9964064341693292
real,vmf_pca100_lloyd100,agnews,halfA->halfB,n_iter,14.0
real,vmf_pca100_lloyd100,agnews,halfA->halfB,n_clusters,100.0
real,vmf_pca100_lloyd100,agnews,halfB->halfA,yardstick_ari,0.7996997704066445
real,vmf_pca100_lloyd100,agnews,halfB->halfA,reliability_ari,0.6269940482242482
real,vmf_pca100_lloyd100,agnews,halfB->halfA,inertia_ratio,0.9960826112905459
real,vmf_pca100_lloyd100,agnews,halfB->halfA,n_iter,14.0
real,vmf_pca100_lloyd100,agnews,halfB->halfA,n_clusters,100.0
pnull,vmf_pca100_lloyd100,agnews,halfA->halfB,yardstick_ari,0.014441606598040833
pnull,vmf_pca100_lloyd100,agnews,halfA->halfB,reliability_ari,0.013986421850295642
pnull,vmf_pca100_lloyd100,agnews,halfA->halfB,inertia_ratio,1.0109807354562055
pnull,vmf_pca100_lloyd100,agnews,halfA->halfB,n_iter,34.0
pnull,vmf_pca100_lloyd100,agnews,halfA->halfB,n_clusters,100.0
pnull,vmf_pca100_lloyd100,agnews,halfB->halfA,yardstick_ari,0.01337516516923365
pnull,vmf_pca100_lloyd100,agnews,halfB->halfA,reliability_ari,0.013879567079660872
pnull,vmf_pca100_lloyd100,agnews,halfB->halfA,inertia_ratio,1.0080019321676312
pnull,vmf_pca100_lloyd100,agnews,halfB->halfA,n_iter,38.0
pnull,vmf_pca100_lloyd100,agnews,halfB->halfA,n_clusters,100.0
real,vmf_ward100,agnews,halfA->halfB,yardstick_ari,0.3470484512912661
real,vmf_ward100,agnews,halfA->halfB,reliability_ari,0.2523514641656226
real,vmf_ward100,agnews,halfA->halfB,inertia_ratio,0.9601034493037618
real,vmf_ward100,agnews,halfA->halfB,n_iter,14.0
real,vmf_ward100,agnews,halfA->halfB,n_clusters,100.0
real,vmf_ward100,agnews,halfB->halfA,yardstick_ari,0.34112267323589124
real,vmf_ward100,agnews,halfB->halfA,reliability_ari,0.2523514641656226
real,vmf_ward100,agnews,halfB->halfA,inertia_ratio,0.9608623322825065
real,vmf_ward100,agnews,halfB->halfA,n_iter,15.0
real,vmf_ward100,agnews,halfB->halfA,n_clusters,100.0
pnull,vmf_ward100,agnews,halfA->halfB,yardstick_ari,0.009299899474495521
pnull,vmf_ward100,agnews,halfA->halfB,reliability_ari,0.007647039779486209
pnull,vmf_ward100,agnews,halfA->halfB,inertia_ratio,0.966768748245131
pnull,vmf_ward100,agnews,halfA->halfB,n_iter,25.0
