domain,arm,metric,value
bookcorpus,fisher_pca(null),chain_cocluster_lift,2.375979923223586
bookcorpus,nopca_fisher,ami_dimension,0.17128853626827345
bookcorpus,nopca_fisher,ami_layer,0.02445929437822795
bookcorpus,nopca_fisher,chain_cocluster_rate,0.5890842013888888
bookcorpus,nopca_fisher,chain_cocluster_expected,0.1611687875279935
bookcorpus,nopca_fisher,chain_cocluster_lift,3.655076211866212
bookcorpus,nopca_fisher,frac_dimensions_single_cluster,0.009114583333333334
bookcorpus,nopca_fisher(null),ami_dimension,0.05173873587200616
bookcorpus,nopca_fisher(null),chain_cocluster_lift,1.9024095657858833
bookcorpus,vmf_profile,ami_dimension,0.26490588480898786
bookcorpus,vmf_profile,ami_layer,0.034708821149326476
bookcorpus,vmf_profile,chain_cocluster_rate,0.6184895833333334
bookcorpus,vmf_profile,chain_cocluster_expected,0.05834064069819402
bookcorpus,vmf_profile,chain_cocluster_lift,10.601350549660301
bookcorpus,vmf_profile,frac_dimensions_single_cluster,0.0
bookcorpus,vmf_profile(null),ami_dimension,0.02427779215065835
bookcorpus,vmf_profile(null),chain_cocluster_lift,2.272340027791986
bookcorpus,vmf_z,ami_dimension,0.26584310915109105
bookcorpus,vmf_z,ami_layer,0.02780278072389748
bookcorpus,vmf_z,chain_cocluster_rate,0.5967881944444444
bookcorpus,vmf_z,chain_cocluster_expected,0.04705178526026257
bookcorpus,vmf_z,chain_cocluster_lift,12.683646138894966
bookcorpus,vmf_z,frac_dimensions_single_cluster,0.0
bookcorpus,vmf_z(null),ami_dimension,0.02428563280969449
bookcorpus,vmf_z(null),chain_cocluster_lift,1.7115896446151246
agnews,-,n_chain_pairs,9216.0
agnews,-,mean_abs_r_chain_adjacent,0.8659520745277405
agnews,-,median_abs_r_chain_adjacent,0.9154971837997437
agnews,-,mean_abs_r_same_dim_nonadjacent,0.5459420084953308
agnews,-,mean_abs_r_random_pairs,0.03848719596862793
agnews,-,p90_abs_r_random_pairs,0.07967235893011093
agnews,-,p99_abs_r_random_pairs,0.139029398560524
agnews,-,frac_chain_partner_is_top1,0.4672309027777778
agnews,-,frac_chain_partner_in_top10,0.98046875
agnews,-,median_rank_of_chain_partner,1.0
agnews,-,median_share_of_strength_in_chain,0.0045926415373883905
agnews,legacy,ami_dimension,0.1648640774122077
agnews,legacy,ami_layer,0.017561188047484536
agnews,legacy,chain_cocluster_rate,0.8486328125
agnews,legacy,chain_cocluster_expected,0.47644450271074745
agnews,legacy,chain_cocluster_lift,1.7811787263189611
agnews,legacy,frac_dimensions_single_cluster,0.3359375
agnews,legacy(null),ami_dimension,0.024724539219434846
agnews,legacy(null),chain_cocluster_lift,1.5090930583737625
agnews,current,ami_dimension,0.35997252589939027
agnews,current,ami_layer,0.02913174365371082
agnews,current,chain_cocluster_rate,0.7090928819444444
agnews,current,chain_cocluster_expected,0.030260636569793723
agnews,current,chain_cocluster_lift,23.432847498398743
agnews,current,frac_dimensions_single_cluster,0.0078125
agnews,current(null),ami_dimension,0.019499135039850284
agnews,current(null),chain_cocluster_lift,2.1684692554268143
agnews,fisher_pca,ami_dimension,0.1918886141716091
agnews,fisher_pca,ami_layer,0.0108245710632007
agnews,fisher_pca,chain_cocluster_rate,0.8872612847222222
agnews,fisher_pca,chain_cocluster_expected,0.48481167624609645
agnews,fisher_pca,chain_cocluster_lift,1.8301153379644208
agnews,fisher_pca,frac_dimensions_single_cluster,0.4309895833333333
agnews,fisher_pca(null),ami_dimension,0.030415499402951972
agnews,fisher_pca(null),chain_cocluster_lift,2.7026821983123535
agnews,nopca_fisher,ami_dimension,0.1924621094432783
agnews,nopca_fisher,ami_layer,0.029892164324378554
agnews,nopca_fisher,chain_cocluster_rate,0.8083767361111112
agnews,nopca_fisher,chain_cocluster_expected,0.3159739477394601
agnews,nopca_fisher,chain_cocluster_lift,2.5583651497042643
agnews,nopca_fisher,frac_dimensions_single_cluster,0.23697916666666666
agnews,nopca_fisher(null),ami_dimension,0.06882572125691379
agnews,nopca_fisher(null),chain_cocluster_lift,2.079946988269406
agnews,vmf_profile,ami_dimension,0.33537489560797684
agnews,vmf_profile,ami_layer,0.06855883996569449
agnews,vmf_profile,chain_cocluster_rate,0.7973090277777778
agnews,vmf_profile,chain_cocluster_expected,0.08274529311000164
agnews,vmf_profile,chain_cocluster_lift,9.635702501142084
agnews,vmf_profile,frac_dimensions_single_cluster,0.01171875
agnews,vmf_profile(null),ami_dimension,0.027867567673316468
agnews,vmf_profile(null),chain_cocluster_lift,2.3894923583059176
agnews,vmf_z,ami_dimension,0.3530080429573405
agnews,vmf_z,ami_layer,0.03455199026631366
agnews,vmf_z,chain_cocluster_rate,0.7777777777777778
agnews,vmf_z,chain_cocluster_expected,0.07075882710413585
agnews,vmf_z,chain_cocluster_lift,10.99195407285541
agnews,vmf_z,frac_dimensions_single_cluster,0.01953125
agnews,vmf_z(null),ami_dimension,0.029392342453927897
agnews,vmf_z(null),chain_cocluster_lift,1.6206108146441576
tldr17,-,n_chain_pairs,9216.0
tldr17,-,mean_abs_r_chain_adjacent,0.8654967546463013
tldr17,-,median_abs_r_chain_adjacent,0.9184204339981079
tldr17,-,mean_abs_r_same_dim_nonadjacent,0.5375470519065857
tldr17,-,mean_abs_r_random_pairs,0.04261685535311699
tldr17,-,p90_abs_r_random_pairs,0.08875877410173416
tldr17,-,p99_abs_r_random_pairs,0.16040480136871338
tldr17,-,frac_chain_partner_is_top1,0.5072699652777778
tldr17,-,frac_chain_partner_in_top10,0.9625651041666666
tldr17,-,median_rank_of_chain_partner,0.0
tldr17,-,median_share_of_strength_in_chain,0.004171585454934704
tldr17,legacy,ami_dimension,0.19064382982622027
tldr17,legacy,ami_layer,0.017393697866217913
tldr17,legacy,chain_cocluster_rate,0.8352864583333334
tldr17,legacy,chain_cocluster_expected,0.3971071864020894
tldr17,legacy,chain_cocluster_lift,2.1034282101547443
tldr17,legacy,frac_dimensions_single_cluster,0.25390625
tldr17,legacy(null),ami_dimension,0.020660269625993165
tldr17,legacy(null),chain_cocluster_lift,1.3924725365117547
tldr17,current,ami_dimension,0.35518183431171785
tldr17,current,ami_layer,0.023420533183215218
tldr17,current,chain_cocluster_rate,0.7121310763888888
tldr17,current,chain_cocluster_expected,0.03254865236301159
tldr17,current,chain_cocluster_lift,21.878972697442837
tldr17,current,frac_dimensions_single_cluster,0.00390625
tldr17,current(null),ami_dimension,0.016869371290859837
tldr17,current(null),chain_cocluster_lift,2.0649353010697293
tldr17,fisher_pca,ami_dimension,0.22781106780198337
tldr17,fisher_pca,ami_layer,0.003653768972248373
tldr17,fisher_pca,chain_cocluster_rate,0.8127170138888888
tldr17,fisher_pca,chain_cocluster_expected,0.26332729322043485
tldr17,fisher_pca,chain_cocluster_lift,3.086337933108029
tldr17,fisher_pca,frac_dimensions_single_cluster,0.12369791666666667
tldr17,fisher_pca(null),ami_dimension,0.029048083241487672
tldr17,fisher_pca(null),chain_cocluster_lift,2.716722616864787
tldr17,nopca_fisher,ami_dimension,0.19092062255406742
tldr17,nopca_fisher,ami_layer,0.03171047743490157
tldr17,nopca_fisher,chain_cocluster_rate,0.7418619791666666
tldr17,nopca_fisher,chain_cocluster_expected,0.23460758367233725
tldr17,nopca_fisher,chain_cocluster_lift,3.16213980619988
tldr17,nopca_fisher,frac_dimensions_single_cluster,0.057291666666666664
tldr17,nopca_fisher(null),ami_dimension,0.05450244547386219
tldr17,nopca_fisher(null),chain_cocluster_lift,2.2507293639610615
tldr17,vmf_profile,ami_dimension,0.30851367520026474
tldr17,vmf_profile,ami_layer,0.06489039056863981
tldr17,vmf_profile,chain_cocluster_rate,0.7272135416666666
tldr17,vmf_profile,chain_cocluster_expected,0.0543088292229105
tldr17,vmf_profile,chain_cocluster_lift,13.390337300069936
tldr17,vmf_profile,frac_dimensions_single_cluster,0.005208333333333333
tldr17,vmf_profile(null),ami_dimension,0.02789300698823242
tldr17,vmf_profile(null),chain_cocluster_lift,3.1775811564622396
tldr17,vmf_z,ami_dimension,0.3415177103350501
tldr17,vmf_z,ami_layer,0.02136500488266623
tldr17,vmf_z,chain_cocluster_rate,0.7173394097222222
tldr17,vmf_z,chain_cocluster_expected,0.04495285405366536
tldr17,vmf_z,chain_cocluster_lift,15.9575943468651
tldr17,vmf_z,frac_dimensions_single_cluster,0.00390625
tldr17,vmf_z(null),ami_dimension,0.02333474800054769
tldr17,vmf_z(null),chain_cocluster_lift,1.5798173667084248
