model,domain,task,bos,n_total,n_aligned,clean_accuracy,corrupted_accuracy,both_correct_accuracy,n_both_correct,clean_baseline,corrupted_baseline,passes,base,is_bos,m
LiquidAI/LFM2.5-1.2B-Instruct,MD,code_list,0,1000,1000,0.864,0.886,0.75,750,5.533278818900018,-5.1552535412714935,1,code_list,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,MD,code_A,0,1000,1000,0.737,0.72,0.461,461,6.7726565465138,-6.722334273343989,0,code_A,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,MD,code_B,0,1000,1000,0.737,0.722,0.605,605,7.27495977173757,-7.4014797167011634,1,code_B,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,phys,phys_newton,0,1000,1000,0.898,0.898,0.797,797,7.693119289123419,-7.632317045537813,1,phys_newton,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,phys,phys_prost,0,1200,1200,0.7591666666666667,0.7691666666666667,0.5691666666666667,683,3.837233049786813,-4.151316596864,0,phys_prost,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,phys,physics_buoyancy,0,1000,745,0.4791946308724832,0.5060402684563758,0.0201342281879194,15,0.2489174524943034,-0.4246294657389323,0,physics_buoyancy,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,phys,physics_brightness,0,1000,687,0.4963609898107715,0.5138282387190685,0.0262008733624454,18,0.1496883498297797,-0.243835343254937,0,physics_brightness,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,phys,physics_elasticity,0,1000,412,0.4927184466019417,0.5194174757281553,0.0218446601941747,9,0.3490698072645399,-0.3876387278238932,0,physics_elasticity,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,phys,physics_solubility,0,1000,554,0.5342960288808665,0.5685920577617328,0.1173285198555956,65,1.4788636721097506,-1.2669268828171951,0,physics_solubility,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,phys,physics_speed,0,1000,491,0.5010183299389002,0.5254582484725051,0.0407331975560081,20,0.2217752456665039,-0.3805501937866211,0,physics_speed,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,phys,physics_stability,0,1000,665,0.5007518796992482,0.5082706766917293,0.0135338345864661,9,0.250815921359592,-0.0689190758599175,0,physics_stability,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,phys,physics_temperature,0,1000,552,0.5163043478260869,0.4891304347826087,0.0054347826086956,3,0.563234011332194,-0.2091261545817057,0,physics_temperature,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,ToM,agent,0,945,930,0.6838709677419355,0.5548387096774193,0.3279569892473118,305,3.330371753505019,-2.943365758364318,0,agent,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,ToM,social_interactions,0,204,174,0.7413793103448276,0.6724137931034483,0.4310344827586206,75,4.204121843973796,-3.6281955146789553,0,social_interactions,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,ToM,social_relations,0,288,283,0.5547703180212014,0.6643109540636042,0.2579505300353357,73,2.213545479186594,-1.9354037487343565,0,social_relations,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,ToM,desires_goals,0,1080,960,0.8927083333333333,0.8760416666666667,0.76875,738,4.910452478946386,-5.58668758552572,1,desires_goals,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,ToM,primary_emotions,0,1295,920,0.8467391304347827,0.8913043478260869,0.7380434782608696,679,5.540158617303368,-8.4512628968229,1,primary_emotions,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,ToM,secondary_emotions,0,1600,1150,0.6826086956521739,0.8556521739130435,0.5382608695652173,619,6.01349293164945,-7.339739450923076,0,secondary_emotions,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,ToM,emotion_fewshot,0,2000,1459,0.4969156956819739,0.5277587388622345,0.0274160383824537,40,1.0222442865371704,-0.8279783368110657,0,emotion_fewshot,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,ToM,norm_appropriate,0,2000,1191,0.5188916876574308,0.4861460957178841,0.0554156171284634,66,0.308726354078813,-0.2814981576168175,0,norm_appropriate,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,ToM,norm_moral,0,2000,1569,0.490121096239643,0.5098789037603569,0.0,0,0.0,0.0,0,norm_moral,False,lfm1.2
openai-community/gpt2,Lan,anaphor_gender_agreement,0,1100,989,0.9292214357937312,0.8928210313447927,0.8220424671385238,813,1.681118296814434,-1.818034185767907,1,anaphor_gender_agreement,False,gpt2
openai-community/gpt2,Lan,det_noun_agreement_irregular,0,932,932,0.934549356223176,0.9259656652360516,0.8605150214592274,802,2.9320154328298687,-2.885375457511578,1,det_noun_agreement_irregular,False,gpt2
openai-community/gpt2,Lan,det_noun_agreement_regular,0,1100,1100,0.9345454545454546,0.9490909090909092,0.8845454545454545,973,3.2226731867853933,-3.074675864575456,1,det_noun_agreement_regular,False,gpt2
openai-community/gpt2,Lan,det_noun_agreement_with_adjective,0,1100,1100,0.9245454545454546,0.7918181818181819,0.72,792,3.159622671327205,-3.1979334253554392,1,det_noun_agreement_with_adjective,False,gpt2
openai-community/gpt2,Lan,subject_verb_agreement,0,1100,1065,0.9746478873239436,0.9145539906103286,0.8901408450704226,948,4.044032407460836,-3.723250278063464,1,subject_verb_agreement,False,gpt2
openai-community/gpt2,Lan,npi,0,304,304,0.9473684210526316,0.9407894736842104,0.8881578947368421,270,2.801956202365734,-2.709358293259585,0,npi,False,gpt2
openai-community/gpt2,Lan,hypernymy,0,577,462,0.8787878787878788,0.8787878787878788,0.7597402597402597,351,5.173659856842454,-5.382255840844918,1,hypernymy,False,gpt2
openai-community/gpt2,Lan,wug,0,2664,2348,0.661839863713799,0.661839863713799,0.389267461669506,914,2.809721563924899,-2.809721569356934,0,wug,False,gpt2
openai-community/gpt2,MD,logic_syllogism_1,0,1000,1000,0.587,0.566,0.204,204,0.0969926422717524,-0.083229663325291,0,logic_syllogism_1,False,gpt2
openai-community/gpt2,MD,logic_syllogism_symbolic,0,1000,1000,0.542,0.476,0.019,19,0.0478823310450503,-0.0673243372063887,0,logic_syllogism_symbolic,False,gpt2
openai-community/gpt2,MD,logic_propositional_1,0,1000,1000,0.477,0.523,0.0,0,0.0,0.0,0,logic_propositional_1,False,gpt2
openai-community/gpt2,MD,logic_propositional_symbolic,0,1000,1000,0.488,0.512,0.0,0,0.0,0.0,0,logic_propositional_symbolic,False,gpt2
openai-community/gpt2,MD,number_sequence,0,946,890,0.2865168539325842,0.2528089887640449,0.0134831460674157,12,0.2425429821014404,-0.3300760587056477,0,number_sequence,False,gpt2
openai-community/gpt2,MD,add_sub_2op_verbal,0,1000,986,0.5060851926977687,0.5212981744421906,0.0821501014198783,81,0.4543085451479311,-0.4414439731174045,0,add_sub_2op_verbal,False,gpt2
openai-community/gpt2,MD,add_sub_2op_symbolic,0,1000,857,0.4959159859976663,0.4982497082847141,0.0420070011668611,36,0.2859712176852756,-0.2948466406928168,0,add_sub_2op_symbolic,False,gpt2
openai-community/gpt2,MD,add_sub_3op_verbal,0,1000,977,0.4943705220061412,0.5220061412487206,0.0624360286591606,61,0.4607172794029361,-0.4249169709252529,0,add_sub_3op_verbal,False,gpt2
openai-community/gpt2,MD,add_sub_3op_symbolic,0,1000,903,0.4761904761904761,0.5138427464008859,0.0287929125138427,26,0.3136848302987906,-0.1729865440955529,0,add_sub_3op_symbolic,False,gpt2
