tree,variant,metric,fit,eval,value
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across,wikitext,agnews,0.30905350109812335
real,vmf_sparse_pca100_lloyd100_n200,reliability_across,wikitext,agnews,0.1405398132235704
real,(ceiling),fidelity_across,wikitext,tldr17,0.5347199290001459
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across,wikitext,tldr17,0.2751351321771592
real,vmf_sparse_pca100_lloyd100_n200,reliability_across,wikitext,tldr17,0.10056925842843127
real,(ceiling),fidelity_across,bookcorpus,wikitext,0.5146824247143202
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across,bookcorpus,wikitext,0.27882229866276576
real,vmf_sparse_pca100_lloyd100_n200,reliability_across,bookcorpus,wikitext,0.1024206507855072
real,(ceiling),fidelity_across,bookcorpus,agnews,0.38928883161438194
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across,bookcorpus,agnews,0.20873768386800992
real,vmf_sparse_pca100_lloyd100_n200,reliability_across,bookcorpus,agnews,0.07570009385580993
real,(ceiling),fidelity_across,bookcorpus,tldr17,0.5805991218137924
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across,bookcorpus,tldr17,0.2676761497608647
real,vmf_sparse_pca100_lloyd100_n200,reliability_across,bookcorpus,tldr17,0.13142102088749708
real,(ceiling),fidelity_across,agnews,wikitext,0.6028882879939186
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across,agnews,wikitext,0.34821124985566615
real,vmf_sparse_pca100_lloyd100_n200,reliability_across,agnews,wikitext,0.1405398132235704
real,(ceiling),fidelity_across,agnews,bookcorpus,0.38928883161438194
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across,agnews,bookcorpus,0.23710808379532183
real,vmf_sparse_pca100_lloyd100_n200,reliability_across,agnews,bookcorpus,0.07570009385580993
real,(ceiling),fidelity_across,agnews,tldr17,0.4654182392943762
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across,agnews,tldr17,0.2652582568391848
real,vmf_sparse_pca100_lloyd100_n200,reliability_across,agnews,tldr17,0.09171876934960796
real,(ceiling),fidelity_across,tldr17,wikitext,0.5347199290001459
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across,tldr17,wikitext,0.28696063443372916
real,vmf_sparse_pca100_lloyd100_n200,reliability_across,tldr17,wikitext,0.10056925842843127
real,(ceiling),fidelity_across,tldr17,bookcorpus,0.5805991218137924
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across,tldr17,bookcorpus,0.29944118870122616
real,vmf_sparse_pca100_lloyd100_n200,reliability_across,tldr17,bookcorpus,0.13142102088749708
real,(ceiling),fidelity_across,tldr17,agnews,0.4654182392943762
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across,tldr17,agnews,0.2530273648912016
real,vmf_sparse_pca100_lloyd100_n200,reliability_across,tldr17,agnews,0.09171876934960796
real,(ceiling),fidelity_across_halves,wikitext,bookcorpus,0.5091561909013692
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across_halves,wikitext,bookcorpus,0.2856500202304369
real,vmf_sparse_pca100_lloyd100_n200,reliability_across_halves,wikitext,bookcorpus,0.09885852243307248
real,(ceiling),fidelity_across_halves,wikitext,agnews,0.6005729889696455
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across_halves,wikitext,agnews,0.3098408764618243
real,vmf_sparse_pca100_lloyd100_n200,reliability_across_halves,wikitext,agnews,0.1398502045663567
real,(ceiling),fidelity_across_halves,wikitext,tldr17,0.527888420655906
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across_halves,wikitext,tldr17,0.2732333749198987
real,vmf_sparse_pca100_lloyd100_n200,reliability_across_halves,wikitext,tldr17,0.09995539572270923
real,(ceiling),fidelity_across_halves,bookcorpus,wikitext,0.5166976980352462
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across_halves,bookcorpus,wikitext,0.27961598129499476
real,vmf_sparse_pca100_lloyd100_n200,reliability_across_halves,bookcorpus,wikitext,0.10189887493066747
real,(ceiling),fidelity_across_halves,bookcorpus,agnews,0.39021431724848005
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across_halves,bookcorpus,agnews,0.20932917661080538
real,vmf_sparse_pca100_lloyd100_n200,reliability_across_halves,bookcorpus,agnews,0.07704783879860562
real,(ceiling),fidelity_across_halves,bookcorpus,tldr17,0.5795205448879742
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across_halves,bookcorpus,tldr17,0.2652338505115099
real,vmf_sparse_pca100_lloyd100_n200,reliability_across_halves,bookcorpus,tldr17,0.131049034150983
real,(ceiling),fidelity_across_halves,agnews,wikitext,0.5996057900076163
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across_halves,agnews,wikitext,0.34539803976290945
real,vmf_sparse_pca100_lloyd100_n200,reliability_across_halves,agnews,wikitext,0.14281016934624977
real,(ceiling),fidelity_across_halves,agnews,bookcorpus,0.3859237992978306
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across_halves,agnews,bookcorpus,0.23627849116382357
real,vmf_sparse_pca100_lloyd100_n200,reliability_across_halves,agnews,bookcorpus,0.07668527374262198
real,(ceiling),fidelity_across_halves,agnews,tldr17,0.46057339758341587
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across_halves,agnews,tldr17,0.26207692895362583
real,vmf_sparse_pca100_lloyd100_n200,reliability_across_halves,agnews,tldr17,0.09119469535988466
real,(ceiling),fidelity_across_halves,tldr17,wikitext,0.5359207133489959
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across_halves,tldr17,wikitext,0.28884290556181375
real,vmf_sparse_pca100_lloyd100_n200,reliability_across_halves,tldr17,wikitext,0.10130338334554796
real,(ceiling),fidelity_across_halves,tldr17,bookcorpus,0.576997269424198
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across_halves,tldr17,bookcorpus,0.29798368559100785
real,vmf_sparse_pca100_lloyd100_n200,reliability_across_halves,tldr17,bookcorpus,0.12701763083865103
real,(ceiling),fidelity_across_halves,tldr17,agnews,0.4660372318224868
real,vmf_sparse_pca100_lloyd100_n200,fidelity_across_halves,tldr17,agnews,0.2553550349882041
real,vmf_sparse_pca100_lloyd100_n200,reliability_across_halves,tldr17,agnews,0.09211965845074988
null,(ceiling),fidelity_within,wikitext,wikitext,-0.1737097422764593
null,(ceiling),fidelity_within_r,wikitext,wikitext,0.4132720715095922
null,vmf_sparse_pca100_lloyd100_n200,reliability_within,wikitext,wikitext,0.15656962915359562
null,vmf_sparse_pca100_lloyd100_n200,reliability_within_coassoc,wikitext,wikitext,0.2814226203918682
null,vmf_sparse_pca100_lloyd100_n200,fidelity_within,wikitext,wikitext,0.14404770422791235
null,vmf_sparse_pca100_lloyd100_n200,fidelity_within_r,wikitext,wikitext,0.38182960169490565
null,vmf_sparse_pca100_lloyd100_n200,fidelity_within_insample,wikitext,wikitext,0.17937195300547204
null,vmf_sparse_pca100_lloyd100_n200,reliability_ceiling,wikitext,wikitext,0.7945866889069725
null,vmf_sparse_pca100_lloyd100_n200,triviality_ami_layer,wikitext,wikitext,0.04683277119196959
null,vmf_sparse_pca100_lloyd100_n200,triviality_ami_dimension,wikitext,wikitext,-0.0016698632840854728
null,vmf_sparse_pca100_lloyd100_n200,triviality_ami_hubness,wikitext,wikitext,0.22758434774400424
null,vmf_sparse_pca100_lloyd100_n200,triviality_n_effective_networks,wikitext,wikitext,100.0
null,vmf_sparse_pca100_lloyd100_n200,triviality_entropy_effective_networks,wikitext,wikitext,59.66687195851811
null,vmf_sparse_pca100_lloyd100_n200,triviality_median_max_membership,wikitext,wikitext,0.46
null,vmf_sparse_pca100_lloyd100_n200,triviality_frac_confident,wikitext,wikitext,0.41786858974358976
null,(ceiling),fidelity_within,bookcorpus,bookcorpus,-0.0722988156652864
null,(ceiling),fidelity_within_r,bookcorpus,bookcorpus,0.46358406201352853
null,vmf_sparse_pca100_lloyd100_n200,reliability_within,bookcorpus,bookcorpus,0.2686020595845873
null,vmf_sparse_pca100_lloyd100_n200,reliability_within_coassoc,bookcorpus,bookcorpus,0.41013534132525986
null,vmf_sparse_pca100_lloyd100_n200,fidelity_within,bookcorpus,bookcorpus,0.10217025827706694
null,vmf_sparse_pca100_lloyd100_n200,fidelity_within_r,bookcorpus,bookcorpus,0.3209426031497068
null,vmf_sparse_pca100_lloyd100_n200,fidelity_within_insample,bookcorpus,bookcorpus,0.12248249731152983
null,vmf_sparse_pca100_lloyd100_n200,reliability_ceiling,bookcorpus,bookcorpus,0.7893110965496761
null,vmf_sparse_pca100_lloyd100_n200,triviality_ami_layer,bookcorpus,bookcorpus,0.028880683598947025
null,vmf_sparse_pca100_lloyd100_n200,triviality_ami_dimension,bookcorpus,bookcorpus,-0.00043885840627635975
null,vmf_sparse_pca100_lloyd100_n200,triviality_ami_hubness,bookcorpus,bookcorpus,0.15364828484768292
null,vmf_sparse_pca100_lloyd100_n200,triviality_n_effective_networks,bookcorpus,bookcorpus,100.0
null,vmf_sparse_pca100_lloyd100_n200,triviality_entropy_effective_networks,bookcorpus,bookcorpus,47.8209029759633
null,vmf_sparse_pca100_lloyd100_n200,triviality_median_max_membership,bookcorpus,bookcorpus,0.51
null,vmf_sparse_pca100_lloyd100_n200,triviality_frac_confident,bookcorpus,bookcorpus,0.5130208333333334
null,(ceiling),fidelity_within,agnews,agnews,-0.15684586630037
null,(ceiling),fidelity_within_r,agnews,agnews,0.4257148198196732
null,vmf_sparse_pca100_lloyd100_n200,reliability_within,agnews,agnews,0.18473795852505687
null,vmf_sparse_pca100_lloyd100_n200,reliability_within_coassoc,agnews,agnews,0.3150012941681947
null,vmf_sparse_pca100_lloyd100_n200,fidelity_within,agnews,agnews,0.13486307935850694
null,vmf_sparse_pca100_lloyd100_n200,fidelity_within_r,agnews,agnews,0.37038878330472413
null,vmf_sparse_pca100_lloyd100_n200,fidelity_within_insample,agnews,agnews,0.17274711432259615
null,vmf_sparse_pca100_lloyd100_n200,reliability_ceiling,agnews,agnews,0.8223351949262367
null,vmf_sparse_pca100_lloyd100_n200,triviality_ami_layer,agnews,agnews,0.04266922918929216
null,vmf_sparse_pca100_lloyd100_n200,triviality_ami_dimension,agnews,agnews,-0.00218347468261755
null,vmf_sparse_pca100_lloyd100_n200,triviality_ami_hubness,agnews,agnews,0.17904790933044312
null,vmf_sparse_pca100_lloyd100_n200,triviality_n_effective_networks,agnews,agnews,100.0
null,vmf_sparse_pca100_lloyd100_n200,triviality_entropy_effective_networks,agnews,agnews,52.19189415652309
null,vmf_sparse_pca100_lloyd100_n200,triviality_median_max_membership,agnews,agnews,0.475
null,vmf_sparse_pca100_lloyd100_n200,triviality_frac_confident,agnews,agnews,0.4534254807692308
null,(ceiling),fidelity_within,tldr17,tldr17,-0.1801692429567292
null,(ceiling),fidelity_within_r,tldr17,tldr17,0.41554391990829437
null,vmf_sparse_pca100_lloyd100_n200,reliability_within,tldr17,tldr17,0.1816553424348798
null,vmf_sparse_pca100_lloyd100_n200,reliability_within_coassoc,tldr17,tldr17,0.337238115400532
null,vmf_sparse_pca100_lloyd100_n200,fidelity_within,tldr17,tldr17,0.15652502451904837
null,vmf_sparse_pca100_lloyd100_n200,fidelity_within_r,tldr17,tldr17,0.39850755598849985
null,vmf_sparse_pca100_lloyd100_n200,fidelity_within_insample,tldr17,tldr17,0.19514645024574662
null,vmf_sparse_pca100_lloyd100_n200,reliability_ceiling,tldr17,tldr17,0.7386162856443006
null,vmf_sparse_pca100_lloyd100_n200,triviality_ami_layer,tldr17,tldr17,0.0500864951643605
null,vmf_sparse_pca100_lloyd100_n200,triviality_ami_dimension,tldr17,tldr17,7.696650378973354e-05
null,vmf_sparse_pca100_lloyd100_n200,triviality_ami_hubness,tldr17,tldr17,0.2620643926643086
