tree,variant,metric,fit,eval,value
real,(ceiling),fidelity_within,wikitext,wikitext,0.9395656421640699
real,(ceiling),fidelity_within_r,wikitext,wikitext,0.9697350364193219
real,current,reliability_within,wikitext,wikitext,0.09388974858827819
real,current,fidelity_within,wikitext,wikitext,0.06406501113836627
real,current,fidelity_within_r,wikitext,wikitext,0.2531134285856581
real,current,fidelity_within_insample,wikitext,wikitext,0.06369526976564588
real,current,reliability_ceiling,wikitext,wikitext,0.06087261573213676
real,current,triviality_ami_layer,wikitext,wikitext,0.01723208134741844
real,current,triviality_ami_hubness,wikitext,wikitext,0.04111303882255135
real,current,triviality_ami_noise_scale,wikitext,wikitext,0.04593557368358155
real,current,triviality_n_effective_networks,wikitext,wikitext,50.0
real,current,triviality_median_max_membership,wikitext,wikitext,0.2
real,current,triviality_frac_confident,wikitext,wikitext,0.036959134615384616
real,fisher_pca,reliability_within,wikitext,wikitext,0.26691563243514
real,fisher_pca,fidelity_within,wikitext,wikitext,0.06346342607699451
real,fisher_pca,fidelity_within_r,wikitext,wikitext,0.2519197418841775
real,fisher_pca,fidelity_within_insample,wikitext,wikitext,0.0637744572170178
real,fisher_pca,reliability_ceiling,wikitext,wikitext,0.23396539690087978
real,fisher_pca,triviality_ami_layer,wikitext,wikitext,0.04860024029468794
real,fisher_pca,triviality_ami_hubness,wikitext,wikitext,0.11234605958517671
real,fisher_pca,triviality_ami_noise_scale,wikitext,wikitext,0.11736068328026285
real,fisher_pca,triviality_n_effective_networks,wikitext,wikitext,33.0
real,fisher_pca,triviality_median_max_membership,wikitext,wikitext,0.3
real,fisher_pca,triviality_frac_confident,wikitext,wikitext,0.07451923076923077
real,legacy,reliability_within,wikitext,wikitext,0.3465234689654202
real,legacy,fidelity_within,wikitext,wikitext,0.06532803534568477
real,legacy,fidelity_within_r,wikitext,wikitext,0.2555959441852987
real,legacy,fidelity_within_insample,wikitext,wikitext,0.06498993037268297
real,legacy,reliability_ceiling,wikitext,wikitext,0.3921487819029055
real,legacy,triviality_ami_layer,wikitext,wikitext,0.05444311591809057
real,legacy,triviality_ami_hubness,wikitext,wikitext,0.13277712734338884
real,legacy,triviality_ami_noise_scale,wikitext,wikitext,0.06912439087151716
real,legacy,triviality_n_effective_networks,wikitext,wikitext,50.0
real,legacy,triviality_median_max_membership,wikitext,wikitext,0.35
real,legacy,triviality_frac_confident,wikitext,wikitext,0.25050080128205127
real,nopca_fisher,reliability_within,wikitext,wikitext,0.5506083661716815
