tree,variant,metric,fit,eval,value
real,(ceiling),fidelity_within,wikitext,wikitext,0.9747874897582266
real,(ceiling),fidelity_within_r,wikitext,wikitext,0.9873717009599972
real,vmf_lloyd100,reliability_within,wikitext,wikitext,0.5967987278058549
real,vmf_lloyd100,fidelity_within,wikitext,wikitext,0.206472300815837
real,vmf_lloyd100,fidelity_within_r,wikitext,wikitext,0.4543933744350246
real,vmf_lloyd100,fidelity_within_insample,wikitext,wikitext,0.20633758825949955
real,vmf_lloyd100,reliability_ceiling,wikitext,wikitext,0.5617267827557071
real,vmf_lloyd100,triviality_ami_layer,wikitext,wikitext,0.13895909320727215
real,vmf_lloyd100,triviality_ami_dimension,wikitext,wikitext,-0.0014559789676458683
real,vmf_lloyd100,triviality_ami_hubness,wikitext,wikitext,0.07374536144922049
real,vmf_lloyd100,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_lloyd100,triviality_median_max_membership,wikitext,wikitext,0.55
real,vmf_lloyd100,triviality_frac_confident,wikitext,wikitext,0.5671073717948718
real,vmf_pca100_lloyd100,reliability_within,wikitext,wikitext,0.6021268615104063
real,vmf_pca100_lloyd100,fidelity_within,wikitext,wikitext,0.21680547756762092
real,vmf_pca100_lloyd100,fidelity_within_r,wikitext,wikitext,0.4656251087496628
real,vmf_pca100_lloyd100,fidelity_within_insample,wikitext,wikitext,0.21658782589449832
real,vmf_pca100_lloyd100,reliability_ceiling,wikitext,wikitext,0.6621551216846191
real,vmf_pca100_lloyd100,triviality_ami_layer,wikitext,wikitext,0.1417464367449989
real,vmf_pca100_lloyd100,triviality_ami_dimension,wikitext,wikitext,-0.0015126283242027666
real,vmf_pca100_lloyd100,triviality_ami_hubness,wikitext,wikitext,0.07886596148053698
real,vmf_pca100_lloyd100,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_pca100_lloyd100,triviality_median_max_membership,wikitext,wikitext,0.625
real,vmf_pca100_lloyd100,triviality_frac_confident,wikitext,wikitext,0.667167467948718
real,vmf_pca100_ward100,reliability_within,wikitext,wikitext,0.2620628396300217
real,vmf_pca100_ward100,fidelity_within,wikitext,wikitext,0.19129032469016438
real,vmf_pca100_ward100,fidelity_within_r,wikitext,wikitext,0.4373700297711868
real,vmf_pca100_ward100,fidelity_within_insample,wikitext,wikitext,0.19071836876644777
real,vmf_pca100_ward100,reliability_ceiling,wikitext,wikitext,1.0
real,vmf_pca100_ward100,triviality_ami_layer,wikitext,wikitext,0.13368888607277196
real,vmf_pca100_ward100,triviality_ami_dimension,wikitext,wikitext,-0.0014724566493304156
real,vmf_pca100_ward100,triviality_ami_hubness,wikitext,wikitext,0.07116178725820341
real,vmf_pca100_ward100,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_pca100_ward100,triviality_median_max_membership,wikitext,wikitext,1.0
real,vmf_pca100_ward100,triviality_frac_confident,wikitext,wikitext,1.0
real,vmf_pca20_lloyd100,reliability_within,wikitext,wikitext,0.5336867725398513
real,vmf_pca20_lloyd100,fidelity_within,wikitext,wikitext,0.2292305858851279
real,vmf_pca20_lloyd100,fidelity_within_r,wikitext,wikitext,0.47878408738844974
real,vmf_pca20_lloyd100,fidelity_within_insample,wikitext,wikitext,0.22828390591566727
real,vmf_pca20_lloyd100,reliability_ceiling,wikitext,wikitext,0.6026402896127001
real,vmf_pca20_lloyd100,triviality_ami_layer,wikitext,wikitext,0.14183358318614323
real,vmf_pca20_lloyd100,triviality_ami_dimension,wikitext,wikitext,-0.0013035290261645674
real,vmf_pca20_lloyd100,triviality_ami_hubness,wikitext,wikitext,0.08207938681415723
real,vmf_pca20_lloyd100,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_pca20_lloyd100,triviality_median_max_membership,wikitext,wikitext,0.6
real,vmf_pca20_lloyd100,triviality_frac_confident,wikitext,wikitext,0.6526442307692307
real,vmf_pca20_ward100,reliability_within,wikitext,wikitext,0.24868416760228113
real,vmf_pca20_ward100,fidelity_within,wikitext,wikitext,0.2107741024435983
real,vmf_pca20_ward100,fidelity_within_r,wikitext,wikitext,0.45910511549210703
real,vmf_pca20_ward100,fidelity_within_insample,wikitext,wikitext,0.20988428680574156
real,vmf_pca20_ward100,reliability_ceiling,wikitext,wikitext,1.0
real,vmf_pca20_ward100,triviality_ami_layer,wikitext,wikitext,0.13643246909124432
real,vmf_pca20_ward100,triviality_ami_dimension,wikitext,wikitext,-0.0009643079120343347
real,vmf_pca20_ward100,triviality_ami_hubness,wikitext,wikitext,0.0767140144032496
real,vmf_pca20_ward100,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_pca20_ward100,triviality_median_max_membership,wikitext,wikitext,1.0
real,vmf_pca20_ward100,triviality_frac_confident,wikitext,wikitext,1.0
real,vmf_sparse_lloyd100,reliability_within,wikitext,wikitext,0.6086814436245862
real,vmf_sparse_lloyd100,fidelity_within,wikitext,wikitext,0.19820845245149332
real,vmf_sparse_lloyd100,fidelity_within_r,wikitext,wikitext,0.445206710360385
