model,step,domain,key,partition,eval_key,measure,value
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,act_firing_rate_median,0.496978759765625
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,act_frac_dead,0.0
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,act_frac_dense,0.4912923177083333
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,act_firing_rate_gini,0.2116887828857783
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,act_firing_rate_median,0.4971186319986979
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,act_frac_dead,0.0
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,act_frac_dense,0.4921061197916667
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,act_firing_rate_gini,0.2124616899651457
EleutherAI/pythia-70m,0,wikitext,-,-,-,lm_loss,11.017375644841424
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,dim_participation_ratio,119.7581079092741
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,dim_top1_share,0.041729354973281924
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,dim_top10_share,0.22753471083182564
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,dim_top100_share,0.5935854245996491
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,dim_n_for_50pct,61.0
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,dim_n_for_90pct,947.0
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,dim_participation_ratio_frac,0.00974593977126254
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,n_live_units,12288.0
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,coupling_mean_absr,0.0708573541955194
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,coupling_median_absr,0.05819759517908096
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,coupling_p90_absr,0.14683485478162767
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,coupling_p99_absr,0.25362799137830716
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,coupling_frac_absr_gt_0.1,0.25229038872803117
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,coupling_frac_absr_gt_0.3,0.004059134472680549
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,coupling_concentration_top1pct,0.036276831319154795
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,hub_strength_gini,0.11516931906014305
EleutherAI/pythia-70m,0,wikitext,halfA,-,halfA,hub_strength_cv,0.21029443378936977
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,dim_participation_ratio,117.80450897314611
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,dim_top1_share,0.04295669181673504
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,dim_top10_share,0.22925027692931238
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,dim_top100_share,0.594070201440513
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,dim_n_for_50pct,61.0
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,dim_n_for_90pct,944.0
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,dim_participation_ratio_frac,0.009586955482840666
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,n_live_units,12288.0
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,coupling_mean_absr,0.07140085226871795
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,coupling_median_absr,0.05857301317155361
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,coupling_p90_absr,0.14813008308410644
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,coupling_p99_absr,0.2557501327991485
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,coupling_frac_absr_gt_0.1,0.25568104539395886
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,coupling_frac_absr_gt_0.3,0.0043061376011879334
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,coupling_concentration_top1pct,0.03622406821391247
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,hub_strength_gini,0.11734626540647608
EleutherAI/pythia-70m,0,wikitext,halfB,-,halfB,hub_strength_cv,0.214294612457479
EleutherAI/pythia-70m,0,wikitext,halfA,real,halfA,segregation_within_mean,0.15585814413367663
EleutherAI/pythia-70m,0,wikitext,halfA,real,halfA,segregation_between_mean,0.06976084355086389
EleutherAI/pythia-70m,0,wikitext,halfA,real,halfA,segregation_ratio,2.2341780316924873
EleutherAI/pythia-70m,0,wikitext,halfA,real,halfA,segregation_modularity,0.014776345270214286
EleutherAI/pythia-70m,0,wikitext,halfA,real,halfB,segregation_within_mean,0.1575058515458899
EleutherAI/pythia-70m,0,wikitext,halfA,real,halfB,segregation_between_mean,0.07029009730589734
EleutherAI/pythia-70m,0,wikitext,halfA,real,halfB,segregation_ratio,2.240797176029448
EleutherAI/pythia-70m,0,wikitext,halfA,real,halfB,segregation_modularity,0.014835876562804926
EleutherAI/pythia-70m,0,wikitext,halfA,null,halfA,segregation_within_mean,0.07091729721503044
EleutherAI/pythia-70m,0,wikitext,halfA,null,halfA,segregation_between_mean,0.0708567350527683
EleutherAI/pythia-70m,0,wikitext,halfA,null,halfA,segregation_ratio,1.0008547128542833
EleutherAI/pythia-70m,0,wikitext,halfA,null,halfA,segregation_modularity,-7.939873000459734e-05
EleutherAI/pythia-70m,0,wikitext,halfA,null,halfB,segregation_within_mean,0.07146645575833542
EleutherAI/pythia-70m,0,wikitext,halfA,null,halfB,segregation_between_mean,0.07140017465161566
EleutherAI/pythia-70m,0,wikitext,halfA,null,halfB,segregation_ratio,1.0009283045460766
EleutherAI/pythia-70m,0,wikitext,halfA,null,halfB,segregation_modularity,-7.953091917689019e-05
EleutherAI/pythia-70m,0,wikitext,halfB,real,halfB,segregation_within_mean,0.1582649463136251
EleutherAI/pythia-70m,0,wikitext,halfB,real,halfB,segregation_between_mean,0.07031789111588257
EleutherAI/pythia-70m,0,wikitext,halfB,real,halfB,segregation_ratio,2.2507066665694992
EleutherAI/pythia-70m,0,wikitext,halfB,real,halfB,segregation_modularity,0.014455769497633676
EleutherAI/pythia-70m,0,wikitext,halfB,real,halfA,segregation_within_mean,0.15614324580765104
EleutherAI/pythia-70m,0,wikitext,halfB,real,halfA,segregation_between_mean,0.06979406897104516
EleutherAI/pythia-70m,0,wikitext,halfB,real,halfA,segregation_ratio,2.237199351028363
EleutherAI/pythia-70m,0,wikitext,halfB,real,halfA,segregation_modularity,0.01432272540858825
EleutherAI/pythia-70m,0,wikitext,halfB,null,halfB,segregation_within_mean,0.07145420944580076
EleutherAI/pythia-70m,0,wikitext,halfB,null,halfB,segregation_between_mean,0.07140030031024869
EleutherAI/pythia-70m,0,wikitext,halfB,null,halfB,segregation_ratio,1.0007550267340308
EleutherAI/pythia-70m,0,wikitext,halfB,null,halfB,segregation_modularity,-7.694206855293873e-05
EleutherAI/pythia-70m,0,wikitext,halfB,null,halfA,segregation_within_mean,0.07091969748579045
EleutherAI/pythia-70m,0,wikitext,halfB,null,halfA,segregation_between_mean,0.07085670927696269
EleutherAI/pythia-70m,0,wikitext,halfB,null,halfA,segregation_ratio,1.0008889519351167
EleutherAI/pythia-70m,0,wikitext,halfB,null,halfA,segregation_modularity,-7.520289276459934e-05
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,act_firing_rate_median,0.4966913859049479
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,act_frac_dead,0.0
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,act_frac_dense,0.49072265625
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,act_firing_rate_gini,0.21554857507115766
EleutherAI/pythia-70m,0,bookcorpus,halfB,-,halfB,act_firing_rate_median,0.49665323893229163
EleutherAI/pythia-70m,0,bookcorpus,halfB,-,halfB,act_frac_dead,0.0
EleutherAI/pythia-70m,0,bookcorpus,halfB,-,halfB,act_frac_dense,0.4908854166666667
EleutherAI/pythia-70m,0,bookcorpus,halfB,-,halfB,act_firing_rate_gini,0.21550963877186669
EleutherAI/pythia-70m,0,bookcorpus,-,-,-,lm_loss,10.99190833180434
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,dim_participation_ratio,108.14708667763931
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,dim_top1_share,0.04426614205579398
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,dim_top10_share,0.2389164156744505
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,dim_top100_share,0.6196162031292861
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,dim_n_for_50pct,56.0
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,dim_n_for_90pct,656.0
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,dim_participation_ratio_frac,0.008801032444469345
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,n_live_units,12288.0
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,coupling_mean_absr,0.07452768131602554
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,coupling_median_absr,0.06108693405985832
EleutherAI/pythia-70m,0,bookcorpus,halfA,-,halfA,coupling_p90_absr,0.15467155724763873
