model,step,domain,key,tree,measure,value
pythia-70m,4000,wikitext,halfA,real,crisp_frac_confident,0.786376953125
pythia-70m,4000,wikitext,halfA,real,crisp_network_median,0.6726602782268356
pythia-70m,4000,wikitext,halfA,real,size_n_networks,100.0
pythia-70m,4000,wikitext,halfA,real,size_effective_n,90.22061709742466
pythia-70m,4000,wikitext,halfA,real,size_gini,0.24226562499999993
pythia-70m,4000,wikitext,halfA,real,size_largest_share,0.033528645833333336
pythia-70m,4000,wikitext,halfA,real,size_frac_small,0.0
pythia-70m,4000,wikitext,halfA,real,depth_median_effective_layers,4.103405231688646
pythia-70m,4000,wikitext,halfA,real,depth_frac_single_layer,0.04
pythia-70m,4000,wikitext,halfA,real,depth_mean_layer_span,3.41
pythia-70m,16000,wikitext,halfA,real,crisp_median_max_membership,0.715
pythia-70m,16000,wikitext,halfA,real,crisp_frac_confident,0.7792154947916666
pythia-70m,16000,wikitext,halfA,real,crisp_network_median,0.66578125
pythia-70m,16000,wikitext,halfA,real,size_n_networks,100.0
pythia-70m,16000,wikitext,halfA,real,size_effective_n,85.16333620919282
pythia-70m,16000,wikitext,halfA,real,size_gini,0.28160481770833323
pythia-70m,16000,wikitext,halfA,real,size_largest_share,0.051920572916666664
pythia-70m,16000,wikitext,halfA,real,size_frac_small,0.02
pythia-70m,16000,wikitext,halfA,real,depth_median_effective_layers,4.161216949134458
pythia-70m,16000,wikitext,halfA,real,depth_frac_single_layer,0.08
pythia-70m,16000,wikitext,halfA,real,depth_mean_layer_span,3.38
pythia-70m,64000,wikitext,halfA,real,crisp_median_max_membership,0.71
pythia-70m,64000,wikitext,halfA,real,crisp_frac_confident,0.768798828125
pythia-70m,64000,wikitext,halfA,real,crisp_network_median,0.6570483709273183
pythia-70m,64000,wikitext,halfA,real,size_n_networks,100.0
pythia-70m,64000,wikitext,halfA,real,size_effective_n,87.48264561103854
pythia-70m,64000,wikitext,halfA,real,size_gini,0.24905273437499997
pythia-70m,64000,wikitext,halfA,real,size_largest_share,0.054606119791666664
pythia-70m,64000,wikitext,halfA,real,size_frac_small,0.01
pythia-70m,64000,wikitext,halfA,real,depth_median_effective_layers,4.051957381291001
pythia-70m,64000,wikitext,halfA,real,depth_frac_single_layer,0.07
pythia-70m,64000,wikitext,halfA,real,depth_mean_layer_span,3.31
pythia-70m,143000,wikitext,halfA,real,crisp_median_max_membership,0.71
pythia-70m,143000,wikitext,halfA,real,crisp_frac_confident,0.7939453125
pythia-70m,143000,wikitext,halfA,real,crisp_network_median,0.6474368059614259
pythia-70m,143000,wikitext,halfA,real,size_n_networks,100.0
pythia-70m,143000,wikitext,halfA,real,size_effective_n,85.81960510100119
pythia-70m,143000,wikitext,halfA,real,size_gini,0.2597054036458333
pythia-70m,143000,wikitext,halfA,real,size_largest_share,0.068359375
pythia-70m,143000,wikitext,halfA,real,size_frac_small,0.0
pythia-70m,143000,wikitext,halfA,real,depth_median_effective_layers,3.856865198439638
pythia-70m,143000,wikitext,halfA,real,depth_frac_single_layer,0.08
pythia-70m,143000,wikitext,halfA,real,depth_mean_layer_span,3.21
pythia-70m,0,bookcorpus,halfA,real,crisp_median_max_membership,0.61
pythia-70m,0,bookcorpus,halfA,real,crisp_frac_confident,0.6456705729166666
pythia-70m,0,bookcorpus,halfA,real,crisp_network_median,0.5927566137566138
pythia-70m,0,bookcorpus,halfA,real,size_n_networks,100.0
pythia-70m,0,bookcorpus,halfA,real,size_effective_n,89.79456549433567
pythia-70m,0,bookcorpus,halfA,real,size_gini,0.23914388020833321
pythia-70m,0,bookcorpus,halfA,real,size_largest_share,0.037434895833333336
pythia-70m,0,bookcorpus,halfA,real,size_frac_small,0.0
pythia-70m,0,bookcorpus,halfA,real,depth_median_effective_layers,5.865760988504318
pythia-70m,0,bookcorpus,halfA,real,depth_frac_single_layer,0.0
pythia-70m,0,bookcorpus,halfA,real,depth_mean_layer_span,5.77
pythia-70m,1,bookcorpus,halfA,real,crisp_median_max_membership,0.61
pythia-70m,1,bookcorpus,halfA,real,crisp_frac_confident,0.6456705729166666
pythia-70m,1,bookcorpus,halfA,real,crisp_network_median,0.5927566137566138
pythia-70m,1,bookcorpus,halfA,real,size_n_networks,100.0
pythia-70m,1,bookcorpus,halfA,real,size_effective_n,89.79456549433567
pythia-70m,1,bookcorpus,halfA,real,size_gini,0.23914388020833321
pythia-70m,1,bookcorpus,halfA,real,size_largest_share,0.037434895833333336
pythia-70m,1,bookcorpus,halfA,real,size_frac_small,0.0
pythia-70m,1,bookcorpus,halfA,real,depth_median_effective_layers,5.865760988504318
pythia-70m,1,bookcorpus,halfA,real,depth_frac_single_layer,0.0
pythia-70m,1,bookcorpus,halfA,real,depth_mean_layer_span,5.77
pythia-70m,4,bookcorpus,halfA,real,crisp_median_max_membership,0.61
pythia-70m,4,bookcorpus,halfA,real,crisp_frac_confident,0.6455078125
pythia-70m,4,bookcorpus,halfA,real,crisp_network_median,0.5833638020833334
pythia-70m,4,bookcorpus,halfA,real,size_n_networks,100.0
pythia-70m,4,bookcorpus,halfA,real,size_effective_n,91.00464481405555
pythia-70m,4,bookcorpus,halfA,real,size_gini,0.22789388020833323
