domain,key,step,measure,value
agnews,halfA,1,similarity_to_previous,1.0
agnews,halfA,4,similarity_to_previous,0.9999677863054316
agnews,halfA,16,similarity_to_previous,0.9188017174658603
agnews,halfA,64,similarity_to_previous,0.17171885913592502
agnews,halfA,256,similarity_to_previous,0.37110977568135795
agnews,halfA,1000,similarity_to_previous,0.20951811315459667
agnews,halfA,4000,similarity_to_previous,0.2822670937944966
agnews,halfA,16000,similarity_to_previous,0.5271935350476733
agnews,halfA,64000,similarity_to_previous,0.5827294619930147
agnews,halfA,143000,similarity_to_previous,0.7490841859723869
agnews,halfA,0,similarity_to_final,0.018267567676071614
agnews,halfA,1,similarity_to_final,0.018267567676071614
agnews,halfA,4,similarity_to_final,0.018275139907913955
agnews,halfA,16,similarity_to_final,0.017903356256930018
agnews,halfA,64,similarity_to_final,0.06522596339952404
agnews,halfA,256,similarity_to_final,0.08443321905140627
agnews,halfA,1000,similarity_to_final,0.10956260050217585
agnews,halfA,4000,similarity_to_final,0.2625308306809983
agnews,halfA,16000,similarity_to_final,0.47645577739470535
agnews,halfA,64000,similarity_to_final,0.7490841859723869
agnews,halfA,143000,similarity_to_final,1.0
agnews,-,0,similarity_between_halves,0.9968373438064845
agnews,-,1,similarity_between_halves,0.9968373438064845
agnews,-,4,similarity_between_halves,0.9968370683347364
agnews,-,16,similarity_between_halves,0.9968057349347618
agnews,-,64,similarity_between_halves,0.9993198231255432
agnews,-,256,similarity_between_halves,0.9985207145311863
agnews,-,1000,similarity_between_halves,0.9954959049357637
agnews,-,4000,similarity_between_halves,0.9924293982427719
agnews,-,16000,similarity_between_halves,0.9932937695326685
agnews,-,64000,similarity_between_halves,0.9926444835425565
agnews,-,143000,similarity_between_halves,0.9949014032634705
agnews,halfB,1,similarity_to_previous,1.0
agnews,halfB,4,similarity_to_previous,0.9999680626440935
agnews,halfB,16,similarity_to_previous,0.9196050404278858
agnews,halfB,64,similarity_to_previous,0.17190774353462138
agnews,halfB,256,similarity_to_previous,0.37153875123271396
agnews,halfB,1000,similarity_to_previous,0.20979392480156195
agnews,halfB,4000,similarity_to_previous,0.28311113527951953
agnews,halfB,16000,similarity_to_previous,0.5280369952529402
agnews,halfB,64000,similarity_to_previous,0.582989566703487
agnews,halfB,143000,similarity_to_previous,0.7491679792057965
agnews,halfB,0,similarity_to_final,0.01828017195502231
agnews,halfB,1,similarity_to_final,0.01828017195502231
agnews,halfB,4,similarity_to_final,0.018288132215350937
agnews,halfB,16,similarity_to_final,0.017919944122286743
agnews,halfB,64,similarity_to_final,0.0658275348140917
agnews,halfB,256,similarity_to_final,0.08485328538412928
agnews,halfB,1000,similarity_to_final,0.10963412961549697
agnews,halfB,4000,similarity_to_final,0.26266571977230346
agnews,halfB,16000,similarity_to_final,0.4765245185457605
agnews,halfB,64000,similarity_to_final,0.7491679792057965
agnews,halfB,143000,similarity_to_final,1.0
bookcorpus,halfA,1,similarity_to_previous,1.0
bookcorpus,halfA,4,similarity_to_previous,0.9999740662948995
bookcorpus,halfA,16,similarity_to_previous,0.937746941820878
bookcorpus,halfA,64,similarity_to_previous,0.2724129512367015
bookcorpus,halfA,256,similarity_to_previous,0.2996477607617716
bookcorpus,halfA,1000,similarity_to_previous,0.18039925407769503
bookcorpus,halfA,4000,similarity_to_previous,0.23431885227061033
bookcorpus,halfA,16000,similarity_to_previous,0.4262291839966938
bookcorpus,halfA,64000,similarity_to_previous,0.49828051805806334
bookcorpus,halfA,143000,similarity_to_previous,0.6796003658559835
bookcorpus,halfA,0,similarity_to_final,0.002299592049020657
bookcorpus,halfA,1,similarity_to_final,0.002299592049020657
bookcorpus,halfA,4,similarity_to_final,0.0023044615673292698
bookcorpus,halfA,16,similarity_to_final,0.003132860908924467
bookcorpus,halfA,64,similarity_to_final,0.03612517237645932
bookcorpus,halfA,256,similarity_to_final,0.04297479218686028
bookcorpus,halfA,1000,similarity_to_final,0.0787713504135757
bookcorpus,halfA,4000,similarity_to_final,0.20662807150291693
bookcorpus,halfA,16000,similarity_to_final,0.4017886842921466
bookcorpus,halfA,64000,similarity_to_final,0.6796003658559835
bookcorpus,halfA,143000,similarity_to_final,0.9999999999999999
bookcorpus,-,0,similarity_between_halves,0.9985506058591144
bookcorpus,-,1,similarity_between_halves,0.9985506058591144
bookcorpus,-,4,similarity_between_halves,0.9985507099168952
bookcorpus,-,16,similarity_between_halves,0.9985465072082715
bookcorpus,-,64,similarity_between_halves,0.9994837375935832
bookcorpus,-,256,similarity_between_halves,0.9992505023657
bookcorpus,-,1000,similarity_between_halves,0.9977230242817111
bookcorpus,-,4000,similarity_between_halves,0.9962393387119521
bookcorpus,-,16000,similarity_between_halves,0.9964771298674382
bookcorpus,-,64000,similarity_between_halves,0.9960049374262997
bookcorpus,-,143000,similarity_between_halves,0.9972996029028541
bookcorpus,halfB,1,similarity_to_previous,1.0
bookcorpus,halfB,4,similarity_to_previous,0.9999742370032576
bookcorpus,halfB,16,similarity_to_previous,0.9380507757359416
bookcorpus,halfB,64,similarity_to_previous,0.2731375808043084
bookcorpus,halfB,256,similarity_to_previous,0.2990398582213229
bookcorpus,halfB,1000,similarity_to_previous,0.18084398171770028
bookcorpus,halfB,4000,similarity_to_previous,0.23466687662475555
bookcorpus,halfB,16000,similarity_to_previous,0.42583762299906786
bookcorpus,halfB,64000,similarity_to_previous,0.49698313779191217
bookcorpus,halfB,143000,similarity_to_previous,0.6786399560601432
bookcorpus,halfB,0,similarity_to_final,0.002255143572153006
bookcorpus,halfB,1,similarity_to_final,0.002255143572153006
bookcorpus,halfB,4,similarity_to_final,0.002259865812955033
bookcorpus,halfB,16,similarity_to_final,0.003102723082707875
bookcorpus,halfB,64,similarity_to_final,0.03607742568770627
bookcorpus,halfB,256,similarity_to_final,0.04312346642898351
bookcorpus,halfB,1000,similarity_to_final,0.07884597863051046
bookcorpus,halfB,4000,similarity_to_final,0.2063425945977066
bookcorpus,halfB,16000,similarity_to_final,0.4009767390717879
bookcorpus,halfB,64000,similarity_to_final,0.6786399560601432
bookcorpus,halfB,143000,similarity_to_final,1.0
tldr17,halfA,1,similarity_to_previous,1.0
tldr17,halfA,4,similarity_to_previous,0.9999660206564397
tldr17,halfA,16,similarity_to_previous,0.9146865550043436
tldr17,halfA,64,similarity_to_previous,0.1716355392370491
tldr17,halfA,256,similarity_to_previous,0.3427131497880126
tldr17,halfA,1000,similarity_to_previous,0.22553624097607955
tldr17,halfA,4000,similarity_to_previous,0.283741108233986
tldr17,halfA,16000,similarity_to_previous,0.5095396976593178
tldr17,halfA,64000,similarity_to_previous,0.5715097221967201
tldr17,halfA,143000,similarity_to_previous,0.7391106993334668
tldr17,halfA,0,similarity_to_final,0.0098654071738787
tldr17,halfA,1,similarity_to_final,0.0098654071738787
tldr17,halfA,4,similarity_to_final,0.009875293510660283
tldr17,halfA,16,similarity_to_final,0.010091996183777195
tldr17,halfA,64,similarity_to_final,0.05647108722317921
tldr17,halfA,256,similarity_to_final,0.07351884214530692
tldr17,halfA,1000,similarity_to_final,0.1098319376809401
tldr17,halfA,4000,similarity_to_final,0.2551682731217293
tldr17,halfA,16000,similarity_to_final,0.4621699218480338
tldr17,halfA,64000,similarity_to_final,0.7391106993334668
tldr17,halfA,143000,similarity_to_final,1.0
tldr17,-,0,similarity_between_halves,0.9958834913825674
tldr17,-,1,similarity_between_halves,0.9958834913825674
tldr17,-,4,similarity_between_halves,0.9958846265475295
tldr17,-,16,similarity_between_halves,0.9958873613816365
tldr17,-,64,similarity_between_halves,0.9981173517506765
tldr17,-,256,similarity_between_halves,0.9969630249482857
tldr17,-,1000,similarity_between_halves,0.9928457156228075
tldr17,-,4000,similarity_between_halves,0.9888417347373653
tldr17,-,16000,similarity_between_halves,0.9894474696558938
tldr17,-,64000,similarity_between_halves,0.9889513709778456
tldr17,-,143000,similarity_between_halves,0.9915176483061018
tldr17,halfB,1,similarity_to_previous,1.0
tldr17,halfB,4,similarity_to_previous,0.9999657425150336
tldr17,halfB,16,similarity_to_previous,0.914104775774829
tldr17,halfB,64,similarity_to_previous,0.17112658601677475
tldr17,halfB,256,similarity_to_previous,0.34030246915728923
tldr17,halfB,1000,similarity_to_previous,0.2240916664407262
tldr17,halfB,4000,similarity_to_previous,0.28320789975116284
tldr17,halfB,16000,similarity_to_previous,0.5084320090119434
tldr17,halfB,64000,similarity_to_previous,0.5699423884987431
tldr17,halfB,143000,similarity_to_previous,0.7387283972358587
tldr17,halfB,0,similarity_to_final,0.009722935367261536
tldr17,halfB,1,similarity_to_final,0.009722935367261536
tldr17,halfB,4,similarity_to_final,0.009730830720315664
tldr17,halfB,16,similarity_to_final,0.009898077514786547
tldr17,halfB,64,similarity_to_final,0.054733241993972274
tldr17,halfB,256,similarity_to_final,0.07255784854595289
tldr17,halfB,1000,similarity_to_final,0.10967387478046886
tldr17,halfB,4000,similarity_to_final,0.25436760785861834
tldr17,halfB,16000,similarity_to_final,0.46072747288541327
tldr17,halfB,64000,similarity_to_final,0.7387283972358587
tldr17,halfB,143000,similarity_to_final,1.0
wikitext,halfA,1,similarity_to_previous,1.0
wikitext,halfA,4,similarity_to_previous,0.9999739116049876
wikitext,halfA,16,similarity_to_previous,0.9364877383098477
wikitext,halfA,64,similarity_to_previous,0.2479929446505032
wikitext,halfA,256,similarity_to_previous,0.322859906200257
wikitext,halfA,1000,similarity_to_previous,0.1909683022753543
wikitext,halfA,4000,similarity_to_previous,0.2531726580516141
wikitext,halfA,16000,similarity_to_previous,0.4954285688580205
wikitext,halfA,64000,similarity_to_previous,0.5612159287157228
wikitext,halfA,143000,similarity_to_previous,0.7286470412234274
wikitext,halfA,0,similarity_to_final,0.005771583708514167
wikitext,halfA,1,similarity_to_final,0.005771583708514167
wikitext,halfA,4,similarity_to_final,0.005785937534375279
wikitext,halfA,16,similarity_to_final,0.006776335563929654
wikitext,halfA,64,similarity_to_final,0.04174901398022994
wikitext,halfA,256,similarity_to_final,0.05178431875544658
wikitext,halfA,1000,similarity_to_final,0.08708526422719629
wikitext,halfA,4000,similarity_to_final,0.24516242896384988
wikitext,halfA,16000,similarity_to_final,0.4577205420566543
wikitext,halfA,64000,similarity_to_final,0.7286470412234274
wikitext,halfA,143000,similarity_to_final,1.0
wikitext,-,0,similarity_between_halves,0.9961138001465465
wikitext,-,1,similarity_between_halves,0.9961138001465465
wikitext,-,4,similarity_between_halves,0.99611426146905
wikitext,-,16,similarity_between_halves,0.996127396116331
wikitext,-,64,similarity_between_halves,0.9986660896334593
wikitext,-,256,similarity_between_halves,0.9974066729601433
wikitext,-,1000,similarity_between_halves,0.9936923661799626
wikitext,-,4000,similarity_between_halves,0.9908579639950956
wikitext,-,16000,similarity_between_halves,0.9919745673093702
wikitext,-,64000,similarity_between_halves,0.9915217171157211
wikitext,-,143000,similarity_between_halves,0.9938454275465836
wikitext,halfB,1,similarity_to_previous,1.0
wikitext,halfB,4,similarity_to_previous,0.9999737766917964
wikitext,halfB,16,similarity_to_previous,0.9360453347566151
wikitext,halfB,64,similarity_to_previous,0.24516014048710866
wikitext,halfB,256,similarity_to_previous,0.32480798234711383
wikitext,halfB,1000,similarity_to_previous,0.19106475054731337
