domain,key,step,measure,value
wikitext,halfB,4000,similarity_to_previous,0.25378423673258965
wikitext,halfB,16000,similarity_to_previous,0.4949211304196368
wikitext,halfB,64000,similarity_to_previous,0.5601898360749965
wikitext,halfB,143000,similarity_to_previous,0.7272003147357395
wikitext,halfB,0,similarity_to_final,0.005697357435953296
wikitext,halfB,1,similarity_to_final,0.005697357435953296
wikitext,halfB,4,similarity_to_final,0.005711336489263888
wikitext,halfB,16,similarity_to_final,0.006746274202636128
wikitext,halfB,64,similarity_to_final,0.04182421926542882
wikitext,halfB,256,similarity_to_final,0.05179710361898131
wikitext,halfB,1000,similarity_to_final,0.0874872372914949
wikitext,halfB,4000,similarity_to_final,0.24412751246231001
wikitext,halfB,16000,similarity_to_final,0.4569028302051786
wikitext,halfB,64000,similarity_to_final,0.7272003147357395
wikitext,halfB,143000,similarity_to_final,1.0
