step,domain,key,tree,measure,value
0,tldr17,halfB,real,selectivity_frac_coherent,0.32
0,tldr17,halfB,real,selectivity_prefers_whitespace,0.03
0,tldr17,halfB,real,selectivity_prefers_punctuation,0.35
0,tldr17,halfB,real,selectivity_prefers_digit,0.11
0,tldr17,halfB,real,selectivity_prefers_function_word,0.25
0,tldr17,halfB,real,selectivity_prefers_content_word,0.08
0,tldr17,halfB,real,selectivity_prefers_continuation,0.15
0,tldr17,halfB,real,selectivity_prefers_other,0.03
0,tldr17,halfB,null,selectivity_coherence_median,0.135408038832473
0,tldr17,halfB,null,selectivity_frac_coherent,0.0
0,tldr17,halfB,null,selectivity_prefers_whitespace,0.04
0,tldr17,halfB,null,selectivity_prefers_punctuation,0.02
0,tldr17,halfB,null,selectivity_prefers_digit,0.3
0,tldr17,halfB,null,selectivity_prefers_function_word,0.2
0,tldr17,halfB,null,selectivity_prefers_content_word,0.09
0,tldr17,halfB,null,selectivity_prefers_continuation,0.26
0,tldr17,halfB,null,selectivity_prefers_other,0.09
0,wikitext,halfA,real,selectivity_coherence_median,0.33407957353293494
0,wikitext,halfA,real,selectivity_frac_coherent,0.11
0,wikitext,halfA,real,selectivity_prefers_whitespace,0.03
0,wikitext,halfA,real,selectivity_prefers_punctuation,0.38
0,wikitext,halfA,real,selectivity_prefers_digit,0.16
0,wikitext,halfA,real,selectivity_prefers_function_word,0.29
0,wikitext,halfA,real,selectivity_prefers_content_word,0.06
0,wikitext,halfA,real,selectivity_prefers_continuation,0.05
0,wikitext,halfA,real,selectivity_prefers_other,0.03
0,wikitext,halfA,null,selectivity_coherence_median,0.17269801384943761
0,wikitext,halfA,null,selectivity_frac_coherent,0.0
0,wikitext,halfA,null,selectivity_prefers_whitespace,0.0
0,wikitext,halfA,null,selectivity_prefers_punctuation,0.2
0,wikitext,halfA,null,selectivity_prefers_digit,0.26
0,wikitext,halfA,null,selectivity_prefers_function_word,0.19
0,wikitext,halfA,null,selectivity_prefers_content_word,0.14
0,wikitext,halfA,null,selectivity_prefers_continuation,0.11
0,wikitext,halfA,null,selectivity_prefers_other,0.1
0,wikitext,halfB,real,selectivity_coherence_median,0.3425917459313139
0,wikitext,halfB,real,selectivity_frac_coherent,0.1
0,wikitext,halfB,real,selectivity_prefers_whitespace,0.05
0,wikitext,halfB,real,selectivity_prefers_punctuation,0.36
0,wikitext,halfB,real,selectivity_prefers_digit,0.14
0,wikitext,halfB,real,selectivity_prefers_function_word,0.28
0,wikitext,halfB,real,selectivity_prefers_content_word,0.09
0,wikitext,halfB,real,selectivity_prefers_continuation,0.02
0,wikitext,halfB,real,selectivity_prefers_other,0.06
0,wikitext,halfB,null,selectivity_coherence_median,0.17396812193066286
0,wikitext,halfB,null,selectivity_frac_coherent,0.0
0,wikitext,halfB,null,selectivity_prefers_whitespace,0.0
0,wikitext,halfB,null,selectivity_prefers_punctuation,0.16
0,wikitext,halfB,null,selectivity_prefers_digit,0.26
0,wikitext,halfB,null,selectivity_prefers_function_word,0.2
0,wikitext,halfB,null,selectivity_prefers_content_word,0.12
0,wikitext,halfB,null,selectivity_prefers_continuation,0.18
0,wikitext,halfB,null,selectivity_prefers_other,0.08
1000,agnews,halfA,real,selectivity_coherence_median,0.4778672801637983
1000,agnews,halfA,real,selectivity_frac_coherent,0.43
1000,agnews,halfA,real,selectivity_prefers_whitespace,0.05
1000,agnews,halfA,real,selectivity_prefers_punctuation,0.12
1000,agnews,halfA,real,selectivity_prefers_digit,0.05
1000,agnews,halfA,real,selectivity_prefers_function_word,0.22
1000,agnews,halfA,real,selectivity_prefers_content_word,0.38
1000,agnews,halfA,real,selectivity_prefers_continuation,0.14
1000,agnews,halfA,real,selectivity_prefers_other,0.04
1000,agnews,halfA,null,selectivity_coherence_median,0.21195232858084462
1000,agnews,halfA,null,selectivity_frac_coherent,0.0
1000,agnews,halfA,null,selectivity_prefers_whitespace,0.01
1000,agnews,halfA,null,selectivity_prefers_punctuation,0.03
1000,agnews,halfA,null,selectivity_prefers_digit,0.0
1000,agnews,halfA,null,selectivity_prefers_function_word,0.03
1000,agnews,halfA,null,selectivity_prefers_content_word,0.87
1000,agnews,halfA,null,selectivity_prefers_continuation,0.06
1000,agnews,halfA,null,selectivity_prefers_other,0.0
1000,agnews,halfB,real,selectivity_coherence_median,0.4764149184592777
1000,agnews,halfB,real,selectivity_frac_coherent,0.46
1000,agnews,halfB,real,selectivity_prefers_whitespace,0.04
