model,domain,key,tree,network,step,best_jaccard,birth_step
pythia-70m,wikitext,halfA,real,7,64,0.020491803278688523,143000
pythia-70m,wikitext,halfA,real,7,256,0.02702702702702703,143000
pythia-70m,wikitext,halfA,real,7,1000,0.043795620437956206,143000
pythia-70m,wikitext,halfA,real,7,4000,0.07692307692307693,143000
pythia-70m,wikitext,halfA,real,7,16000,0.08064516129032258,143000
pythia-70m,wikitext,halfA,real,7,64000,0.31756756756756754,143000
pythia-70m,wikitext,halfA,real,7,143000,1.0,143000
pythia-70m,wikitext,halfA,real,8,0,0.012195121951219513,143000
pythia-70m,wikitext,halfA,real,8,1,0.012195121951219513,143000
pythia-70m,wikitext,halfA,real,8,4,0.014598540145985401,143000
pythia-70m,wikitext,halfA,real,8,16,0.016,143000
pythia-70m,wikitext,halfA,real,8,64,0.018867924528301886,143000
pythia-70m,wikitext,halfA,real,8,256,0.028089887640449437,143000
pythia-70m,wikitext,halfA,real,8,1000,0.036585365853658534,143000
pythia-70m,wikitext,halfA,real,8,4000,0.0962566844919786,143000
pythia-70m,wikitext,halfA,real,8,16000,0.08839779005524862,143000
pythia-70m,wikitext,halfA,real,8,64000,0.1377245508982036,143000
pythia-70m,wikitext,halfA,real,8,143000,1.0,143000
pythia-70m,wikitext,halfA,real,9,0,0.016216216216216217,64000
pythia-70m,wikitext,halfA,real,9,1,0.016216216216216217,64000
pythia-70m,wikitext,halfA,real,9,4,0.016216216216216217,64000
pythia-70m,wikitext,halfA,real,9,16,0.015706806282722512,64000
pythia-70m,wikitext,halfA,real,9,64,0.0199203187250996,64000
pythia-70m,wikitext,halfA,real,9,256,0.022388059701492536,64000
pythia-70m,wikitext,halfA,real,9,1000,0.02586206896551724,64000
pythia-70m,wikitext,halfA,real,9,4000,0.22950819672131148,64000
pythia-70m,wikitext,halfA,real,9,16000,0.3712121212121212,64000
pythia-70m,wikitext,halfA,real,9,64000,0.5175438596491229,64000
pythia-70m,wikitext,halfA,real,9,143000,1.0,64000
pythia-70m,wikitext,halfA,real,10,0,0.02,143000
pythia-70m,wikitext,halfA,real,10,1,0.02,143000
pythia-70m,wikitext,halfA,real,10,4,0.020202020202020204,143000
pythia-70m,wikitext,halfA,real,10,16,0.01762114537444934,143000
pythia-70m,wikitext,halfA,real,10,64,0.03067484662576687,143000
pythia-70m,wikitext,halfA,real,10,256,0.026905829596412557,143000
pythia-70m,wikitext,halfA,real,10,1000,0.05394190871369295,143000
pythia-70m,wikitext,halfA,real,10,4000,0.06572769953051644,143000
pythia-70m,wikitext,halfA,real,10,16000,0.12941176470588237,143000
pythia-70m,wikitext,halfA,real,10,64000,0.2887323943661972,143000
pythia-70m,wikitext,halfA,real,10,143000,1.0,143000
pythia-70m,wikitext,halfA,real,11,0,0.018726591760299626,143000
pythia-70m,wikitext,halfA,real,11,1,0.018726591760299626,143000
pythia-70m,wikitext,halfA,real,11,4,0.02252252252252252,143000
pythia-70m,wikitext,halfA,real,11,16,0.022641509433962263,143000
pythia-70m,wikitext,halfA,real,11,64,0.0196078431372549,143000
pythia-70m,wikitext,halfA,real,11,256,0.023333333333333334,143000
pythia-70m,wikitext,halfA,real,11,1000,0.022988505747126436,143000
pythia-70m,wikitext,halfA,real,11,4000,0.043010752688172046,143000
pythia-70m,wikitext,halfA,real,11,16000,0.066006600660066,143000
pythia-70m,wikitext,halfA,real,11,64000,0.22105263157894736,143000
pythia-70m,wikitext,halfA,real,11,143000,1.0,143000
pythia-70m,wikitext,halfA,real,12,0,0.016042780748663103,143000
pythia-70m,wikitext,halfA,real,12,1,0.016042780748663103,143000
pythia-70m,wikitext,halfA,real,12,4,0.01675977653631285,143000
pythia-70m,wikitext,halfA,real,12,16,0.016666666666666666,143000
pythia-70m,wikitext,halfA,real,12,64,0.02631578947368421,143000
pythia-70m,wikitext,halfA,real,12,256,0.014218009478672985,143000
pythia-70m,wikitext,halfA,real,12,1000,0.029850746268656716,143000
pythia-70m,wikitext,halfA,real,12,4000,0.046511627906976744,143000
pythia-70m,wikitext,halfA,real,12,16000,0.0625,143000
pythia-70m,wikitext,halfA,real,12,64000,0.14545454545454545,143000
pythia-70m,wikitext,halfA,real,12,143000,1.0,143000
pythia-70m,wikitext,halfA,real,13,0,0.022988505747126436,143000
pythia-70m,wikitext,halfA,real,13,1,0.022988505747126436,143000
